Question,CorrectAnswer,GivenAnswer,Correct
"อาหารชนิดใดต่อไปนี้ที่ทําจากลําไส้หมู
A.แฮกกิส
B.ชิตลินส์
C.ปลายข้าว
D.สับ suey",B,B. ชิตลินส์,B
"ภาษาราชการของเนเธอร์แลนด์คืออะไร?
A.เดนมาร์ก
B.สวีเดน
C.เยอรมัน
D.ดัทช์",D,D. ดัทช์,D
"หนังสยองขวัญเรื่องใดต่อไปนี้ที่สร้างภาคต่อมากที่สุด?
A.กรี๊ด
B.ขากรรไกร'
C.ฮาโลวีน'
D.วันศุกร์ที่ 13'",D,D. วันศุกร์ที่ 13',D
"ตัวเลขที่ปัดเศษเป็นพันที่ใกล้ที่สุดคือ 47,000. ตัวเลขใดที่อาจเป็นตัวเลขที่ถูกปัดเศษ?
A.46,295
B.46,504
C.47,520
D.47,924",B,"D. 47,924",D
"ผู้ใหญ่วัยกลางคนดูเหมือนจะเป็น ____ มากกว่าผู้ใหญ่ที่มีอายุมากกว่าหรืออายุน้อยกว่า
A.กําเนิด
B.โรคประสาท
C.น่าพอใจ
D.แน่นอน",A,C. น่าพอใจ,C
"ภาษาพื้นเมืองของนักแสดง Antonio Banderas คืออะไร?
A.สเปน
B.รัสเซีย
C.เยอรมัน
D.ฝรั่งเศส",A,A. สเปน,A
"การตรวจสอบข้าม K-fold คือ
A.เชิงเส้นใน K
B.กําลังสองใน K
C.ลูกบาศก์ใน K
D.เลขชี้กําลังใน K",A,B. กําลังสองใน K,B
"ภาพยนตร์เรื่อง Magnolia' ปี 1999 ตั้งอยู่ในสถานะใด?
A.แคลิฟอร์เนีย
B.เซาท์แคโรไลนา
C.จอร์เจีย
D.เทกซัส",A,B.เซาท์แคโรไลนา,B
"ประเทศใดต่อไปนี้ปล่อย CO2 ต่อหัวมากที่สุดในปี 2017
A.ญี่ปุ่น
B.แคนาดา
C.รัสเซีย
D.อิหร่าน",B,C. รัสเซีย,C
" เครื่องมือทางการตลาดและการสื่อสารนี้เสนอสิ่งจูงใจโดยตรงหรือสิ่งจูงใจเพื่อกระตุ้นให้ลูกค้าซื้อผลิตภัณฑ์/บริการ:
A.การโฆษณา 
B.ประชาสัมพันธ์ 
C.การส่งเสริมการขาย
D.การตลาดทางตรง",C,D.การตลาดทางตรง,D
"พลังงานที่ปล่อยออกมาจากการสลายตัวของฟอสเฟตพลังงานสูง ATP และฟอสโฟครีเอทีนสามารถรักษาการออกกําลังกายออกแรงสูงสุดได้ประมาณ:
A.1-2 วินาที
B.5-10 วินาที
C.30-40 วินาที
D.50-60 วินาที",B,B. 5-10 วินาที,B
"คําว่าการแข่งขันในประเทศหนึ่งได้รับอิทธิพลจากการแข่งขันในประเทศอื่นมากน้อยเพียงใด
A.การค้าระหว่างประเทศ
B.เศรษฐกิจโลก
C.การแข่งขันระดับโลก
D.โลกาภิวัตน์",D,C.การแข่งขันระดับโลก,C
"ในระนาบ xy กราฟของ x^(log y) = y^log x คือ
A.ดิ โอเพ่น เฟิร์ส ควอแดรนท์
B.เส้นโค้งปิด
C.รังสีในจตุภาคแรกเปิด
D.จุดเดียว",A,C. รังสีในจตุภาคแรกเปิด,C
"ความสัมพันธ์อัตโนมัติที่เหลือเชิงลบถูกระบุโดยข้อใดต่อไปนี้
A.รูปแบบวัฏจักรในส่วนที่เหลือ
B.รูปแบบการสลับกันในส่วนที่เหลือ
C.การสุ่มที่สมบูรณ์ในส่วนที่เหลือ
D.สารตกค้างที่ใกล้ศูนย์ทั้งหมด",B,D.สารตกค้างที่ใกล้ศูนย์ทั้งหมด,D
"ข้อใดต่อไปนี้ทําให้การกําหนดความสัมพันธ์ทางวิวัฒนาการของสปีชีส์ต่างๆ โดยพิจารณาจากลําดับกรดอะมิโนของโปรตีนที่คล้ายคลึงกันโดยทั่วไปมีความแม่นยําน้อยกว่าการกําหนดความสัมพันธ์ตามลําดับนิวคลีโอไทด์ของยีนที่คล้ายคลึงกัน
A.การกลายพันธุ์เงียบ
B.การทําสําเนายีน
C.เหตุการณ์การย้ายถิ่นที่เปลี่ยนลําดับยีน
D.ข้ามผ่าน",A,C. เหตุการณ์การย้ายถิ่นที่เปลี่ยนลำดับยีน,C
"ลักษณะใดต่อไปนี้โดยทั่วไปสอดคล้องกับการข่มขืนวันที่
A.การใช้กําลังมากเกินไป
B.ไตร่ตรองไว้ล่วงหน้า
C.มีแรงจูงใจทางเพศ
D.เกี่ยวข้องกับการใช้อาวุธ",C,B. ไตร่ตรองไว้ล่วงหน้า,B
"การเข้าใจผิดของบุคลิกภาพที่น่ายกย่องเป็นประเภทเฉพาะของ
A.ความผิดพลาดของอุบัติเหตุ
B.ภาวะที่กลืนไม่เข้าคายไม่ออกเท็จ
C.ตั้งคําถาม
D.การให้เหตุผลแบบวงกลม",A,B.ภาวะที่กลืนไม่เข้าคายไม่ออกเท็จ,B
