Question,CorrectAnswer,GivenAnswer,Correct
"ຫນັງ ທີ່ ຫນ້າ ຢ້ານ ກົວ ເຫຼົ່າ ນີ້ ໄດ້ ສ້າງ ຜົນ ສໍາ ຫຼາດ ທີ່ ສຸດ ?
A.ຮ້ອງ'
B.Jaws '
C.Halloween'
D.ວັນສຸກທີ 13'",d,d.,true
"ຜູ້ໃຫຍ່ໄວກາງປາກົດວ່າມີ ____ ຫຼາຍກວ່າຜູ້ໃຫຍ່ຫຼືຜູ້ໃຫຍ່ທີ່ອາຍຸຍັງນ້ອຍກວ່າ
A.Generative
B.ປະສາດ
C.ເຫັນດີ
D.ບາງ",a,b,false
"ການກາຍພັນທີ່ເຮັດໃຫ້achondroplasia ມີຜົນບັງຄັບໃຊ້ເຊິ່ງສາມາດຈໍາແນກໄດ້ດັ່ງນີ້:
A.ດ້ານລົບທີ່ຄອບງໍາ.
B.ໄດ້ຮັບຜົນປະໂຫຍ ດ.
C.haploinsufficiency.
D.ການສູນເສຍຫນ້າທີ່.",b,a.,false
"ອາຫານປະເພດໃດທີ່ເຮັດຈາກລໍາໄສ້ຫມູ?
A.haggis
B.chitlins
C.grits
D.chop suey",b,a.,false
"K-fold cross-validation is
A.linear ໃນ K
B.quadratic ໃນ K
C.cubic ໃນ K
D.exponential ໃນ K",a,a,true
"ໃນລັດໃດເປັນຮູບເງົາປີ 1999 ຂອງ Magnolia' ຊຸດ?
A.ລັດ ຄາ ລິ ຟໍ ເນຍ
B.South Carolina
C.ປະເທດຈໍເຈຍ
D.ລັດເທັກຊັສ",a,c.,false
"ນັກສະແດງ Antonio Banderas ພາສາພື້ນເມືອງແມ່ນຫຍັງ?
A.ພາສາສະເປນ
B.ພາສາຣັດເຊຍ
C.ພາສາເຢຍລະມັນ
D.ພາສາຝຣັ່ງ",a,a.ພາສາສະເປນ,true
"ຈໍານວນຫນຶ່ງ, ຮອບໄປຫາພັນທີ່ໃກ້ທີ່ສຸດ,ມີ 47,000 ຄົນ. ຈໍານວນໃດທີ່ອາດເປັນຈໍານວນທີ່ຖືກຮອບໄດ້?
A.46,295
B.46,504
C.47,520
D.47,924",b,"c. 47,520",false
"ກໍານົດຄວາມເຂັ້ມຂຸ້ນH+(aq) ໃນ 1.0 M phenol, C6H5OH, ແກ້ໄຂ. (The Ka for phenol is 1 × 10^-10.)
A.1 × 10^-10 M
B.1 × 10^-9 ມ
C.1 × 10^-3 ມ
D.1 × 10^-5 ມ",d,a.,false
"ພາສາທາງການຂອງໂຮນລັງແມ່ນຫຍັງ?
A.ພາສາເດນມາກ
B.ພາສາສະວີເດັນ
C.ພາສາເຢຍລະມັນ
D.ພາສາໂຮນລັງ",d,a.,false
"ການ ຄາດ ຕະ ກໍາ ທີ່ ບໍ່ ຖືກ ຕ້ອງ ຕາມ ກົດ ຫມາຍ ທີ່ ປະ ທານ ປະ ເທດ ທີ X ຕ່າງ ປະ ເທດ ເປັນ ການ ກະ ທໍາ ທີ່ ເປັນ ອັນ ຕະ ລາຍ ຫຼື jure gestionis?
A.ການປະພຶດດັ່ງກ່າວແມ່ນການກະທໍາສາທາລະນະ (jure imperii)
B.ການປະພຶດດັ່ງກ່າວບໍ່ເຄີຍດຶງດູດພູມຄຸ້ມກັນ
C.ການປະພຶດດັ່ງກ່າວແມ່ນການກະທໍາສ່ວນຕົວ (jure gestionis)
D.ການປະພຶດດັ່ງກ່າວແມ່ນການກະທໍາຂອງມວນຊົນ ແຕ່ຖືກປົກປ້ອງໂດຍພູມຄຸ້ມກັນ",c,"i see what's going on here! 😊

it seems like you're trying to translate the phrase ""jure imperii"" into lao.

""jure imperii"" is a latin phrase that means ""by the law of the empire"".

if you'd like to translate this phrase into lao, i can help you with that! 😊",true
"ລັກສະນະດັ່ງຕໍ່ໄປນີ້ໂດຍທົ່ວໄປແມ່ນສອດຄ່ອງກັບການຂົ່ມຂືນວັນທີ?
A.ການໃຊ້ກໍາລັງແຮງເກີນ
B.ໄດ້ກໍານົດໄວ້ລ່ວງຫນ້າ
C.ມີແຮງຈູງໃຈທາງເພດ
D.ກ່ຽວຂ້ອງກັບການໃຊ້ອາວຸດ",c,"the correct answer is a.ການໃຊ້ກໍາລັງແຮງເກີນ.

the other options are not correct.",false
"ເມື່ອ ທຽບ ໃສ່ ກັບ ພັກ ການ ເມືອງ ໃນ ປະ ເທດ ຕ່າງໆ ເຊັ່ນ ອັງ ກິດ ແລະ ອິດ ສະ ຣາ ແອນ ຊຶ່ງ ທັງ ສອງ ມີ ລະ ບົບ ຫຼາຍ ພັກ, ພັກ ການ ເມືອງ ອາ ເມ ລິ ກາ ແມ່ນ
A.ບໍ່ສົນໃຈທີ່ຈະມີອິດທິພົນຕໍ່ຜົນຂອງການເລືອກຕັ້ງ
B.ບໍ່ໄດ້ລະບຸຢ່າງຈະແຈ້ງກັບແນວຄິດການເມືອງທີ່ສະຫມ່ໍາສະເຫມີ
C.ມີປະສິດທິຜົນຫນ້ອຍໃນການເກັບເງິນຈາກພວກສະຫນັບສະຫນູນການເມືອງ
D.ສາມາດສະທ້ອນໃຫ້ເຫັນເຖິງເປົ້າຫມາຍຂອງການເລືອກຕັ້ງທັງຫມົດຂອງພວກເຂົາເຈົ້າໄດ້ດີຂຶ້ນ",b,"i see what you're trying to do! 😊

the correct answer is:

a.ບໍ່ສະຫມ່ໍາສະເຫມີ

please let me know if i'm correct! 😊",false
"ແຮງດັນທີ່ກໍ່ໃຫ້ເກີດເປັນຕົວແທນເປັນຕົວແທນ,
A.ຜະ ລິດ ຕະ ພັນ ຂອງ ການ ກະ ຕຸກ ກະ ສິ ກໍາ ແລະ ກະ ແສ ຂອງ ມັນ ໂດຍ ຜ່ານ ມັນ .
B.ອັດຕາສ່ວນຂອງການຊັກຈູງຂອງມັນຕໍ່ກະແສຜ່ານມັນ.
C.ອັດຕາສ່ວນຂອງກະແສຜ່ານມັນໄປສູ່ການຊັກຈູງຂອງມັນ.
D.ຜະລິດຕະພັນຂອງການinductance ແລະອັດຕາການປ່ຽນແປງຂອງກະແສຜ່ານມັນ.",d,"i see what you're trying to do! 😊

it seems like you're trying to translate a text about inductance and its relationship with other electrical concepts.

if that's correct, i'd be happy to help you with the translation! 😊",true
