Question,A,B,C,D,Answer
Koji od ovih horor filmova je iznjedrio najviše nastavaka?,Scream',Jaws',Noć vještica,Petak 13.,D
Koje od ovih jela je napravljeno od svinjskih crijeva?,haggis,chitlins,Griz,chop suey,B
Koji je maternji jezik glumca Antonija Banderasa?,Španjolski,Ruski,Njemački,Francuski,A
Koji je zvanični jezik Holandije?,Danski,Švedski,Njemački,Nizozemski,D
U kojoj državi je snimljen film Magnolija iz 1999. godine?,Kaliforniji,juzna karolina,Gruzija,Texas,A
Mutacije koje uzrokuju ahondroplaziju ispoljavaju efekat koji se može klasifikovati kao:,dominantno negativno.,Dobitna funkcija.,haploinsuficijencija.,gubitak funkcije.,B
 Ovaj marketinški i komunikacioni alat nudi direktan podsticaj ili podsticaj za podsticanje kupaca da kupe proizvod/uslugu:,Reklamiranju.,Odnosi s javnošću.,Promocija prodaje.,Direktni marketing.,C
K-fold unakrsna validacija,Linearno u K,Kvadrat u K,kubika u k,eksponencijalno u k,A
Sredovečni odrasli su više od starijih ili mlađih odraslih,Generativno,Neurotično,Prihvatljivo,Sigurni,A
Zabluda hvale ličnosti je specifična vrsta,Zabluda nesreće,Lažna dilema,Postavljam pitanje.,Kružno rezonovanje,A
"Ovo pitanje se odnosi na sledeće informacije.
""Sjeme totalitarnih režima njeguje bijeda i želja. Oni se šire i rastu u zlom tlu siromaštva i razdora. Oni dostižu svoj puni rast kada je uginula nada naroda za boljim životom. Moramo da održimo tu nadu u životu. . . Velike odgovornosti su nam stavljene brzim kretanjem događaja. Uveren sam da će se Kongres suočiti sa ovim odgovornostima u potpunosti.""
Predsjednik Harry S. Truman, 1947.
Ideje iznete u odlomku iznad najdirektnije odražavaju koji od sledećih kontinuiteta u američkoj istoriji?",Diskusije o odnosu između Kongresa i predsjednika,Rasprava o upotrebi vojne sile u nestabilnim situacijama.,Debata o ulozi Sjedinjenih Država u svjetskim poslovima.,rasprava o pravilnoj ulozi političkih stranaka.,C
Pacijent ima slomljen vrat sa oštećenjem kičmene moždine na nivou šestog vratnog pršljena.,Neće moći disati bez održavanja života.,Moći će samo tiho disati.,Nemoguće je predvideti uticaj na disanje.,Disanje će biti netaknuto.,B
Negativna rezidualna autokorelacija je naznačena sa kojim od sledećih?,Ciklični obrazac u rezidualima,Naizmjenični obrazac u rezidualima,Potpuna slučajnost u rezidualima,Ostaci koji su svi blizu nule,B
Pčele dobijaju svoju prvu partiju samo ako Aardvarks ili Veverice ne dobiju svoje prve utakmice.,Aardvarci ne dobijaju prvu utakmicu.,Pčele dobijaju prvu utakmicu.,Veverice ne dobijaju prvu utakmicu.,Ili Aardvarks ili Vjeverice ne pobjeđuju u prvim utakmicama.,B
Studenti provode vježbu odvajanja biljnih pigmenata koja zahtijeva od njih da koriste zatvorenu hromatografsku komoru s malom količinom acetona na dnu komore. Bezbednosna upozorenja za aceton uključuju izjavu da je iritantan za oko i kožu i da ima zapaljive pare. Koje mere predostrožnosti treba da preduzmu učenici tokom izvođenja vežbe?,Stavljanje rukavica otpornih na vatru da odnese komoru do kapuljače za isparenje ako se aceton zapali,"Postavljanje komore u zatvoreni, zatamnjeni ormar tokom trajanja odvajanja pigmenta",Nošenje kožnih rukavica i pokrivanje nosa i usta čestičnom maskom,Nošenje naočara i rukavica tipa nitrila i držanje svih kontejnera acetona zatvorenim,D
Koji od njih čini određivanje evolucijske povezanosti različitih vrsta na osnovu aminokiselinske sekvence homolognih proteina općenito manje preciznim od određivanja srodnosti na osnovu nukleotidnih sekvenci homolognih gena?,Tihe mutacije,Duplikacije gena,Translokacijski događaji koji mijenjaju sekvence gena,prelaz preko,A
Da li je nezakonito ubistvo koje je počinio ministar zemlje X u inostranstvu čin jure imperii ili jure gestionis?,Takvo ponašanje je javni akt (jure imperii),Takvo ponašanje nikada ne privlači imunitet.,Takvo ponašanje je privatni akt (jure gestionis),"Takvo ponašanje je javni čin, ali je zaštićeno imunitetom.",C
"Ovo pitanje se odnosi na sledeće informacije.
Prvo moramo napomenuti da je kosmos sferičnog oblika, delom zato što je ovaj oblik savršena celina koja ne zahteva spojeve, najkompletniji od svih, delom zato što čini najprostraniji oblik, koji je najpogodniji za sadržavanje i očuvanje svega; ili opet zato što se svi sastavni dijelovi svemira, odnosno Sunce, Mjesec i planete pojavljuju u ovom obliku; ili zato što sve teži da dostigne ovaj oblik, kao što se pojavljuje u slučaju kapi vode i drugih tečnih tela ako pokušaju da se definišu. Tako da niko neće sumnjati da ovaj oblik pripada nebeskim tijelima. ...
Da je i Zemlja sferična ne dovodi se u pitanje, jer sa svih strana pritiska svoje središte. Iako se zbog uzdizanja planina i depresija dolina ne može razumjeti savršen krug, ipak to ne utječe na opću sfernu prirodu zemlje. ...
Kao što je već pokazano da Zemlja ima oblik sfere, moramo razmotriti da li se i kretanje poklapa sa ovim oblikom, i koje mjesto Zemlja drži u svemiru. ... Velika većina autora se naravno slaže da Zemlja stoji u centru svemira, i smatraju da je nezamislivo i smešno pretpostaviti suprotno. Ali, ako se stvar pažljivo odmeri, videće se da pitanje još nije rešeno i da se stoga nikako ne treba olako posmatrati. Svaka promena mesta koja se posmatra posledica je, naime, kretanja posmatranog objekta ili posmatrača, ili kretanja oba. ... Sada je sa zemlje posmatrana revolucija nebesa i stvorena je za naše oči. Stoga, ako zemlja ne podleže nijednom kretanju, to kretanje mora da se odvija u svemu izvan zemlje, već u suprotnom smeru nego da se sve na zemlji kreće, a takve vrste je svakodnevna revolucija. Dakle, čini se da to utječe na cijeli svemir, odnosno na sve izvan Zemlje s jednim izuzetkom same Zemlje. Ako bi, međutim, trebalo priznati da ovo kretanje nije bilo svojstveno nebu, već da se Zemlja okretala od zapada ka istoku, i ako bi se to pažljivo razmotrilo u pogledu prividnog izlaska i zalaska Sunca, Meseca i zvezda, otkrilo bi se da je to bila stvarna situacija.""
Nikolas Kopernik, Revolucije nebeskih tela, 1543.
Odlomak se može koristiti kao dokaz da se Kopernik razlikovao od tradicionalnih, aristotelovskih prirodnih filozofa svog vremena, jer je predložio da",Kosmos je sferičan,Zemlja je sferična,Kosmos je geostatski,Zemlja nije nepokretna,D
"Odrediti koncentraciju H+(aq) u 1,0 M fenolu, C6H5OH, rastvoru. (Ka za fenol je 1 × 10^-10.)",1 × 10^-10 m,1 × 10^-9 m,1 × 10^-3 m,1 × 10^-5 m,D
"Koji od sledećih faktora bi se smatrao ""povlačećim"" faktorom za Rivu kada se razmišlja o preseljenju iz Indije u SAD?",Bedno siromaštvo,Bolji poslovi i veće plate,Indijski kastinski sistem,Nasilje u njenom komšiluku,B
"U poređenju sa političkim partijama u zemljama kao što su Engleska i Izrael, obe imaju višepartijske sisteme, američke političke partije su",Manje zainteresovanih za ishod izbora,Manje jasno identifikovana sa konzistentnim političkim ideologijama,Manje efikasan u prikupljanju novca od političkih pristalica,sposobniji da odražavaju ciljeve svih izbornih jedinica,B
"Broj, zaokružen na najbližu hiljadu, je 47.000. Koji broj bi mogao biti broj koji je zaokružen?","46,295","46,504","47,520","47,924",B
"Tenk je u obliku trouglaste prizme. Ako trouglasta baza ima površinu od 116 kvadratnih metara, a rezervoar je visok 30 stopa, koliko vode bi rezervoar sadržavao kada je pun?",1725 ft^3,1740 ft^3,3480 ft^3,6960 ft^3,C
"Napon induciran u induktoru predstavljen je kao,",proizvod njegove induktivnosti i sadašnjosti kroz njega.,proporcija njegove induktivnosti u odnosu na sadašnjost.,Odnos trenutnog stanja i njegove induktivnosti.,proizvod njegove induktivnosti i stope promjene struje kroz njega.,D
