Question,A,B,C,D,Answer
Beldurrezko film horietako zeinek sortu zituen ondorio gehien?,Oihua',Tiburón',Halloween',Ostirala 13',D
Zein plater txerri hesteekin egina?,haggis,Chitlins,semola,Chop Suey,B
Zein da Antonio Banderas aktorearen jatorrizko hizkuntza?,Espainol,Errusiar,Alemaniar,Frantziar,A
Zein da Herbehereetako hizkuntza ofiziala?,Daniar,Suediar,Alemaniar,Holandar,D
Zein egoeratan 1999ko Magnolia filma?,Kalifornia,Hego Carolina,Georgia,Texas,A
"Akondroplasia eragiten duten mutazioek efektu bat eragiten dute, eta honela sailka daiteke:",Nagusi negatiboa.,funtzio-irabazia.,ez da nahikoa.,funtzioa galtzea.,B
Marketin- eta komunikazio-tresna honek pizgarri zuzena edo pizgarria eskaintzen du bezeroak produktu/ zerbitzu bat erostera animatzeko:,Publizitatea.,Harreman publikoak.,Salmenten sustapena.,Zuzeneko salmenta.,C
K-fold-en balidazio gurutzatua,lineala K-n,koadratikoa K-n,kubikoa K-n,esponentziala K-n,A
Adin ertaineko helduak helduak edo gazteenak baino gehiago direla dirudi,Sorgailua,Neurotikoa,Atsegina,Egia,A
Laudatorio-nortasunaren falazia mota berezi bat da,Istripuaren falazia,Dilema faltsua,Galdera planteatuz,Arrazoiketa zirkularra,A
"Galdera hau hurrengo informazioari buruzkoa da.
""Erregimen totalitarioen haziak miseriaz eta beharraz elikatzen dira. Pobreziaren eta liskarraren zoru gaiztoan barreiatu eta hazten dira. Bizitza hobe baten herri baten itxaropena hil denean, beren hazkunde osoa lortzen dute. Bizirik mantendu behar dugu itxaropen hori. Gertaeren mugimendu azkarrak erantzukizun handiak ezarri dizkigu. Kongresuak aurrez aurre izango dituela espero dut"".
Harry S. Truman presidentea, 1947
Estatu Batuetako historiako hurrengo jarraitasunetatik zeinek islatzen ditu zuzenen aurreko pasartean adierazitako ideiak?",Kongresuaren eta presidentearen arteko harremanari buruzko eztabaidak.,Egoera lurrunkorretan indar militarraren erabilerari buruzko eztabaidak.,Estatu Batuek munduko arazoetan duten zereginari buruzko eztabaidak.,Alderdi politikoen zeregin egokiari buruzko eztabaidak.,C
