Question,A,B,C,D,Answer
Какой из этих фильмов ужасов породил больше всего сиквелов?,Крик,Челюсти»,Хэллоуин»,Пятница 13-е',D
Какое из этих блюд готовят из свиных кишок?,хаггис,Хитлины,овсяная крупа,Чоп Суэй,B
Какой родной язык актера Антонио Бандераса?,Испанский,Русский,Немецкий,Французский,A
Какой язык является официальным языком Нидерландов?,Датский,Шведский,Немецкий,Нидерландский,D
В каком состоянии находится действие фильма «Магнолия» 1999 года?,Калифорния,Южная Каролина,Грузия,Техас,A
"Мутации, вызывающие ахондроплазию, оказывают эффект, который можно классифицировать как:",доминантный отрицательный.,усиление функции.,гаплонедостаточность.,потеря функции.,B
 Этот маркетинговый и коммуникационный инструмент предлагает прямое побуждение или стимул для поощрения клиентов к покупке продукта/услуги:,Реклама.,Пиар.,Стимулирование сбыта.,Прямой маркетинг.,C
K-кратная перекрестная проверка,линейный в K,квадратичный в K,кубический в K,экспоненциальный в K,A
"Взрослые среднего возраста, по-видимому, более ____, чем пожилые или молодые люди",Порождающий,Невротический,Приятный,Уверенный,A
Заблуждение хвалебной личности является специфическим типом,Заблуждение о несчастном случае,Ложная дилемма,Напрашиваясь на вопрос,Круговое рассуждение,A
"Этот вопрос относится к следующей информации.
«Семена тоталитарных режимов взращиваются нищетой и нуждой. Они распространяются и растут на злой почве бедности и раздоров. Они достигают своего полного роста, когда надежда народа на лучшую жизнь умирает. Мы должны сохранить эту надежду... Стремительный ход событий возложил на нас большую ответственность... Я уверен, что Конгресс справится с этими обязанностями со всей серьезностью».
Президент Гарри Трумэн, 1947 год
Идеи, выраженные в приведенном выше отрывке, наиболее непосредственно отражают какую из следующих преемственностей в истории США?",Дебаты об отношениях между Конгрессом и президентом.,Дебаты о применении военной силы в нестабильных ситуациях.,Дебаты о роли США в мировых делах.,Дебаты о надлежащей роли политических партий.,C
У пациента перелом шеи с повреждением спинного мозга на уровне шестого шейного позвонка.,Они не смогут дышать без жизнеобеспечения.,Они смогут только спокойно дышать.,Предсказать влияние на дыхание невозможно.,Это не повлияет на дыхание.,B
Отрицательная остаточная автокорреляция обозначается одним из следующих признаков?,Циклическая закономерность в остатках,Чередование остатков,Полная случайность в остатках,"Остатки, близкие к нулю",B
"Определите антецедент следующего условного предложения: «Пчелы» выигрывают свою первую игру только в том случае, если трубкозубы или бурундуки не выигрывают свои первые игры.",«Трубкозубы» выигрывают не первую игру.,«Пчелы» выигрывают свой первый матч.,«Бурундуки» выигрывают не первую игру.,Трубкозубы или бурундуки не выигрывают свои первые игры.,B
"Учащиеся проводят упражнение по разделению растительных пигментов, которое требует от них использования закрытой хроматографической камеры с небольшим количеством ацетона в нижней части камеры. Предупреждения о безопасности ацетона включают утверждение, что он раздражает глаза и кожу и имеет легковоспламеняющиеся пары. Какие меры предосторожности должны соблюдать учащиеся при выполнении упражнения?",Надевание огнезащитных перчаток для переноса камеры в вытяжной шкаф в случае возгорания ацетона,Помещение камеры в закрытый затемненный шкаф на время отделения пигмента,Ношение кожаных перчаток и закрытие носа и рта маской из частиц,"Ношение защитных очков и нитриловых перчаток, а также закрытие всех контейнеров с ацетоном",D
"Что из этого делает определение эволюционного родства различных видов на основе аминокислотной последовательности гомологичных белков, как правило, менее точным, чем определение родства на основе нуклеотидных последовательностей гомологичных генов?",Скрытые мутации,Дупликации генов,"Транслокационные события, изменяющие последовательности генов",Кроссинговер,A
"Является ли незаконное убийство, совершенное министром страны Х за рубежом, актом jure imperii или jure gestionis?",Такое поведение является публичным актом (jure imperii),Такое поведение никогда не влечет за собой неприкосновенность,Такое поведение является частным актом (jure gestionis),"Такое поведение является публичным актом, но защищено иммунитетом",C
