Question,A,B,C,D,Answer
Qual desses filmes de terror gerou mais sequências?,Grito',Tubarão',Dia das Bruxas',Sexta-feira 13',D
Qual desses pratos é feito de intestino de porco?,haggis,Dobradinha,canjica,Corte Suey,B
Qual é a língua nativa do ator Antonio Banderas?,Espanhol,Russo,Alemão,Francês,A
Qual é a língua oficial dos Países Baixos?,Dinamarquês,Sueco,Alemão,Holandês,D
"Em que estado se passa o filme Magnólia, de 1999?",Califórnia,Carolina do Sul,Geórgia,Texas,A
As mutações que causam acondroplasia exercem um efeito que pode ser classificado como:,Negativo dominante.,ganho de função.,haploinsuficiência.,perda de função.,B
 Esta ferramenta de marketing e comunicação oferece um incentivo direto ou um incentivo para incentivar os clientes a comprar um produto/serviço:,Publicidade.,Relações públicas.,Promoção de vendas.,Marketing direto.,C
A validação cruzada K-fold é,linear em K,quadrático em K,cúbico em K,exponencial em K,A
Adultos de meia-idade parecem ser mais ____ do que adultos mais velhos ou mais jovens,Gerador,Neurótico,Agradável,Certo,A
A falácia da personalidade laudatória é um tipo específico de,A falácia do acidente,Falso dilema,Levantando a questão,Raciocínio circular,A
"Esta pergunta refere-se às seguintes informações.
""As sementes dos regimes totalitários são alimentadas pela miséria e pela carência. Eles se espalham e crescem no solo maligno da pobreza e da contenda. Atingem seu pleno crescimento quando a esperança de um povo por uma vida melhor morreu. Temos de manter viva essa esperança... Grandes responsabilidades nos foram impostas pelo rápido movimento dos acontecimentos... Estou confiante de que o Congresso enfrentará essas responsabilidades de frente.""
Presidente Harry S. Truman, 1947
As ideias expressas na passagem acima refletem mais diretamente qual das seguintes continuidades na história dos EUA?",Debates sobre a relação entre o Congresso e o presidente.,Debates sobre o uso da força militar em situações voláteis.,Debates sobre o papel dos Estados Unidos nos assuntos mundiais.,Debates sobre o papel adequado dos partidos políticos.,C
Um paciente sofre um pescoço quebrado com danos à medula espinhal no nível da sexta vértebra cervical.,Eles serão incapazes de respirar sem suporte de vida.,Eles só poderão respirar tranquilamente.,É impossível prever um efeito na respiração.,A respiração não será afetada.,B
