Question,A,B,C,D,Answer
Který z těchto hororů zplodil nejvíce pokračování?,Křičet',Čelisti',Halloween',Pátek třináctého',D
Které z těchto pokrmů se vyrábí z vepřových střev?,haggis,chitliny,ovesná kaše,Chop Suey,B
Jaký je rodný jazyk herce Antonia Banderase?,Španělština,Ruština,Němčina,Francouzština,A
Jaký je úřední jazyk Nizozemska?,Dánština,Švédština,Němčina,Holandština,D
V jakém stavu se odehrává film Magnolia z roku 1999?,Kalifornský,Jižní Karolína,Gruzie,Texas,A
"Mutace, které způsobují achondroplázii, mají účinek, který lze klasifikovat jako:",dominantní negativní.,zisk funkce.,haploinsuficience.,ztráta funkce.,B
Tento marketingový a komunikační nástroj nabízí přímou pobídku nebo pobídku k povzbuzení zákazníků ke koupi produktu/služby:,Reklamní.,Styk s veřejností.,Podpora prodeje.,Přímý marketing.,C
K-násobné křížové ověřování je,lineární v K,kvadratická v K,krychlový v K,Exponenciála v K,A
Dospělí středního věku se zdají být více ____ než starší nebo mladší dospělí,Generativní,Neurotický,Příjemný,Jistý,A
Klam pochvalné osobnosti je specifickým typem,Omyl náhody,Falešné dilema,Prosí o otázku,Uvažování v kruhu,A
"Tato otázka se týká následujících informací.
""Semena totalitních režimů jsou živena bídou a nedostatkem. Šíří se a rostou ve zlé půdě chudoby a sváru. Plného růstu dosáhnou, když pomine naděje lidu na lepší život. Tuto naději musíme udržovat živou. . . . Rychlý běh událostí na nás vložil velkou odpovědnost. . . . Jsem přesvědčen, že Kongres se k těmto povinnostem postaví čelem.""
Prezident Harry S. Truman, 1947
Myšlenky vyjádřené ve výše uvedené pasáži nejpříměji odrážejí kterou z následujících kontinuit v dějinách USA?",Debaty o vztahu mezi Kongresem a prezidentem.,Debaty o použití vojenské síly v nestabilních situacích.,Debaty o roli Spojených států ve světových záležitostech.,Debaty o správné roli politických stran.,C
Pacient utrpí zlomeninu krčku s poškozením míchy na úrovni šestého krčního obratle.,Bez podpory životních funkcí nebudou moci dýchat.,Budou moci dýchat pouze tiše.,Je nemožné předpovědět vliv na dýchání.,Dýchání nebude ovlivněno.,B
Která z následujících možností indikuje negativní reziduální autokorelaci?,Cyklický vzorec v reziduích,Střídající se vzor v reziduích,Naprostá náhodnost v reziduích,"Rezidua, která se všechna blíží nule",B
"Určete předchůdce následující podmiňovací věty: Včely vyhrají svou první hru pouze tehdy, pokud buď hrabáči, nebo Chipmunkové nevyhrají své první hry.",Hrabáči nevyhráli svůj první zápas.,Včely vyhrávají svůj první zápas.,Chipmunkové svůj první zápas nevyhrávají.,Hrabáči ani Chipmunkové své první hry nevyhrávají.,B
"Studenti provádějí cvičení separace rostlinných pigmentů, které vyžaduje, aby používali uzavřenou chromatografickou komoru s malým množstvím acetonu na dně komory. Bezpečnostní varování pro aceton zahrnují prohlášení, že dráždí oči a kůži a obsahuje hořlavé výpary. Jaká bezpečnostní opatření by měli studenti při provádění cvičení dodržovat?","Nasazení nehořlavých rukavic k přenášení komory do digestoře, pokud se aceton vznítí","Umístění komory do uzavřené, zatemněné skříně po dobu separace pigmentu",Nošení kožených rukavic a zakrytí nosu a úst maskou proti částicím,Nošení brýlí a nitrilových rukavic a uzavření všech nádob s acetonem,D
Která z těchto možností činí určení evoluční příbuznosti různých druhů na základě aminokyselinové sekvence homologních proteinů obecně méně přesným než určení příbuznosti založené na nukleotidových sekvencích homologních genů?,Tiché mutace,Genové duplikace,"Translokační události, které mění genové sekvence",Přechod přes,A
Je nezákonné zabití spáchané ministrem země X v zahraničí act iure imperii nebo iure gestionis?,Takové jednání je veřejným aktem (iure imperii),Takové chování nikdy nepřitahuje imunitu,Takové jednání je soukromoprávním úkonem (iure gestionis),"Takové jednání je veřejným aktem, ale je chráněno imunitou",C
"Tato otázka se týká následujících informací.
Nejprve je třeba poznamenat, že kosmos má kulovitý tvar, částečně proto, že tato forma, která je dokonalým celkem, který nevyžaduje žádné klouby, je ze všech nejúplnější, částečně proto, že vytváří nejprostornější formu, která se nejlépe hodí k tomu, aby vše obsáhla a uchovala; nebo také proto, že všechny součásti vesmíru, tj. Slunce, Měsíc a planety, se objevují v této podobě; Nebo proto, že všechno usiluje o dosažení této formy, jak se to jeví u kapek vody a jiných tekutých těles, pokud se pokoušejí vymezit. Nikdo tedy nebude pochybovat o tom, že tato podoba patří k nebeským tělesům. ...
Že Země je také kulatá, je tedy nesporné, protože ze všech stran tlačí na svůj střed. I když kvůli vyvýšeninám hor a prohlubním údolí nelze pochopit dokonalý kruh, přece to nemá vliv na celkovou kulatost Země. ...
Protože již bylo ukázáno, že Země má tvar koule, musíme uvážit, zda se s tímto tvarem kryje také pohyb a jaké místo zaujímá Země ve vesmíru. ... Velká většina autorů se samozřejmě shoduje na tom, že Země stojí nehybně ve středu vesmíru, a považuje za nemyslitelné a směšné předpokládat opak. Budeme-li však tuto záležitost pečlivě zvažovat, ukáže se, že tato otázka ještě není rozhodnuta, a proto ji nelze brát na lehkou váhu. Každá změna místa, která je pozorována, je způsobena pohybem pozorovaného předmětu nebo pozorovatele, nebo pohybem obou. ... Ze země se však pozoruje otáčení nebes a vytváří se pro naše oči. Nepohybuje-li se tedy Země, musí se tento pohyb dít ve všem mimo Zemi, ale opačným směrem, než kdyby se všechno na Zemi pohybovalo, a k tomu patří každodenní oběžení. Zdá se tedy, že to ovlivňuje celý vesmír, to jest všechno mimo Zemi, s jedinou výjimkou samotné Země. Připustíme-li však, že tento pohyb není charakteristický pro nebesa, ale že Země se otáčí od západu k východu, a budeme-li to pečlivě uvažovat s ohledem na zdánlivé východy a západy slunce, měsíce a hvězd, zjistíme, že tomu tak skutečně je.""
Mikuláš Koperník, Revoluce nebeských těles, 1543
Tato pasáž může být použita jako důkaz, že se Koperník lišil od tradičních, aristotelských přírodních filozofů své doby, protože tvrdil, že",Vesmír je kulovitý,"Země je kulatá,",Vesmír je geostatický,Země není nehybná,D
"Stanovte koncentraci H+(aq) v 1.0 M fenolu, C6H5OH, roztok. (Ka pro fenol je 1 × 10^-10.)",1 × 10^-10 M,1 × 10^-9 M,1 × 10^-3 M,1 × 10^-5 M,D
"Který z následujících faktorů by byl považován za ""přitažlivý"" faktor pro společnost Riva při zvažování přesunu z Indie do Spojených států?",Bída v bídě,Lepší práce a vyšší mzdy,Indický kastovní systém,Násilí v jejím sousedství,B
"Ve srovnání s politickými stranami v zemích, jako je Anglie a Izrael, které mají systém více stran, jsou americké politické strany",menší zájem o ovlivňování výsledků voleb,méně jasně ztotožněné s konzistentními politickými ideologiemi,méně efektivní při získávání peněz od politických podporovatelů,lépe odrážet cíle všech svých volebních obvodů,B
"Číslo zaokrouhlené na nejbližší tisícovku je 47 000. Které číslo by mohlo být číslo, které bylo zaokrouhleno?","46,295","46,504","47,520","47,924",B
"Nádrž je ve tvaru trojúhelníkového hranolu. Pokud má trojúhelníková základna plochu 116 čtverečních stop a nádrž je vysoká 30 stop, kolik vody by nádrž obsahovala, když je plná?",1725 ft^3,1740 ft^3,3480 ft^3,6960 ft^3,C
"Napětí indukované v induktoru je reprezentováno jako,",součin jeho indukčnosti a proudu jím procházejícího.,"poměr jeho indukčnosti k proudu, který jím prochází.","poměr proudu, který jím prochází, k jeho indukčnosti.","součin jeho indukčnosti a rychlosti změny proudu, který jím prochází.",D
Která z následujících charakteristik je obecně v souladu se znásilněním na schůzce?,použití nadměrné síly,promyšlený,sexuálně motivovaný,zahrnuje použití zbraně,C
"Najděte délku křivky y = ln x mezi body, kde y = 1/2 a y = 1.",0.53,0.86,1.18,1.36,C
Najděte $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$,1,-1,0,2,B
Která psychologická perspektiva byla na přelomu 19. a 20. století v západní Evropě nejpopulárnější?,vědy zkoumající neurony,evoluční,behaviorista,psychoanalytický,D
Naučená bezmocnost s největší pravděpodobností přímo souvisí s,Barnumův efekt.,Samoúčelná zaujatost.,vnější místo kontroly.,bezpodmínečný pozitivní respekt.,C
