Question,A,B,C,D,Answer
ان ڈراؤنی فلموں میں سے کس نے سب سے زیادہ سیکوئل تیار کیے؟,چیخو',جبڑے',ہالووین',جمعہ 13 تاریخ کو,D
ان میں سے کون سا پکوان کی آنتوں سے بنایا جاتا ہے؟,haggis,chitlins,grits,chop suey,B
اداکار انتونیو بینڈیرس کی مادری زبان کیا ہے؟,سپينش,رشئن,جرمن,فرنچ,A
ہالینڈ کی سرکاری زبان کیا ہے؟,ڈينش,سؤڈش,جرمن,ڈچ,D
1999 کی فلم میگنولیا کس ریاست میں سیٹ کی گئی ہے؟,کیلیفورنیا,جنوبی کیرولائنا,جورجيا,ٹیکساس,A
اکونڈروپلیسیا کا سبب بننے والی تبدیلیاں ایک اثر ڈالتی ہیں جس کی درجہ بندی اس طرح کی جاسکتی ہے:,غالب منفی.,فنکشن کا فائدہ.,ہیپلوفیکیشن.,فنکشن کا نقصان.,B
یہ مارکیٹنگ اور مواصلات کا آلہ گاہکوں کو مصنوعات / خدمت خریدنے کی ترغیب دینے کے لئے براہ راست ترغیب یا حوصلہ افزائی پیش کرتا ہے:,اشتہار بازی.,تعلقات عامہ.,فروخت کی ترویج.,براہ راست مارکیٹنگ.,C
K-فولڈ کراس-توثیق ہے,K میں لکیری,چٹخی in K,کے میں مکعب,K میں تیزی سے اضافہ,A
درمیانی عمر کے بالغ افراد بوڑھے یا نوجوان بالغوں کے مقابلے میں زیادہ ____ دکھائی دیتے ہیں,جنریٹیو,اعصابی اعصابی,قابل قبول,کچھ,A
تعریفی شخصیت کا مغالطہ ایک خاص قسم کا ہے۔,حادثے کی غلط فہمی,جھوٹی الجھن,سوال پوچھنا,سرکلر استدلال,A
"یہ سوال مندرجہ ذیل معلومات کی طرف اشارہ کرتا ہے.
''مطلق العنان حکومتوں کے بیج بدحالی اور تنگدستی سے پروان چڑھتے ہیں۔ وہ غربت اور فساد کی بری مٹی میں پھیلتے اور پروان چڑھتے ہیں۔ وہ اپنی مکمل نشوونما تک اس وقت پہنچتے ہیں جب لوگوں کی بہتر زندگی کی امید دم توڑ جاتی ہے۔ ہمیں اس امید کو زندہ رکھنا چاہئے... واقعات کی تیز رفتار نقل و حرکت نے ہم پر بڑی ذمہ داریاں عائد کر دی ہیں۔ ۔ ۔ ۔ مجھے یقین ہے کہ کانگریس ان ذمہ داریوں کا پوری طرح سامنا کرے گی۔
صدر ہیری ایس ٹرومین، 1947
مندرجہ بالا اقتباس میں بیان کردہ خیالات امریکی تاریخ میں درج ذیل میں سے کس تسلسل کی براہ راست عکاسی کرتے ہیں؟",کانگریس اور صدر کے درمیان تعلقات کے بارے میں بحث.,غیر مستحکم حالات میں فوجی طاقت کے استعمال کے بارے میں بحث.,عالمی معاملات میں امریکہ کے کردار کے بارے میں بحث.,سیاسی جماعتوں کے مناسب کردار کے بارے میں بحث۔,C
ایک مریض کی گردن ٹوٹ جاتی ہے جس سے ریڑھ کی ہڈی کو چھٹے سروائیکل ریڑھ کی ہڈی کی سطح پر نقصان پہنچتا ہے۔,وہ لائف سپورٹ کے بغیر سانس لینے سے قاصر ہوں گے۔,وہ صرف خاموشی سے سانس لے سکیں گے۔,سانس لینے پر اثرات کی پیش گوئی کرنا ناممکن ہے۔,سانس لینے پر کوئی اثر نہیں پڑے گا۔,B
منفی بقیہ آٹوکوریلیشن کی نشاندہی مندرجہ ذیل میں سے کس سے ہوتی ہے؟,باقیات میں ایک گردشی نمونہ,باقیات میں ایک متبادل نمونہ,باقیات میں مکمل بے ترتیبی,باقیات جو سب صفر کے قریب ہیں,B
مندرجہ ذیل مشروط تجویز کے پیش رو کی شناخت کریں: شہد کی مکھیاں اپنا پہلا گیم صرف اسی صورت میں جیتتی ہیں جب آرڈوارکس یا چپمنکس میں سے کوئی ایک اپنا پہلا کھیل نہیں جیتتا ہے۔,آرڈوارکس اپنا پہلا گیم نہیں جیت سکے۔,شہد کی مکھیوں نے اپنا پہلا کھیل جیتا.,چپمنکس اپنا پہلا گیم نہیں جیت سکے۔,یا تو آرڈوارکس یا چپمنکس اپنے پہلے کھیل نہیں جیت پاتے ہیں۔,B
طالب علم پودوں کی رنگت کو الگ کرنے کی مشق کر رہے ہیں جس کے لئے انہیں چیمبر کے نچلے حصے میں تھوڑی مقدار میں ایسیٹون کے ساتھ ایک بند کروماٹوگرافی چیمبر کا استعمال کرنے کی ضرورت ہوتی ہے۔ ایسیٹون کے لئے حفاظتی انتباہ میں یہ بیان شامل ہے کہ یہ آنکھ اور جلد کی جلن ہے اور اس میں آتش گیر بخارات ہیں۔ مندرجہ ذیل میں سے ' مشق کے دوران طلباء کو کون سی حفاظتی احتیاط ی تدابیر اختیار کرنی چاہئیں؟,اگر ایسیٹون میں آگ لگ جاتی ہے تو چیمبر کو فوم ہوڈ تک لے جانے کے لئے آگ سے بچنے والے دستانے پہننا,پیگمنٹ کی علیحدگی کی مدت کے لئے چیمبر کو ایک بند ، تاریک کیبنٹ میں رکھنا,چمڑے کے دستانے پہننا اور ذراتی ماسک سے ناک اور منہ کو ڈھانپنا,چشمے اور نائٹریل قسم کے دستانے پہننا اور تمام ایسیٹون کنٹینرز کو بند رکھنا,D
ان میں سے کون سی چیز ہم جنس پروٹین کے امینو ایسڈ کی ترتیب کی بنیاد پر مختلف انواع کی ارتقائی وابستگی کا تعین کرتی ہے جو عام طور پر ہم جنس جینز کے نیوکلیوٹائڈ سیکونس کی بنیاد پر تعلق کے تعین کے مقابلے میں کم درست ہے؟,خاموش تبدیلیاں,جین کی نقل,منتقلی کے واقعات جو جین کی ترتیب کو تبدیل کرتے ہیں,کراسنگ اوور,A
کیا بیرون ملک ملک X کے وزیر کی طرف سے کیا جانے والا غیر قانونی قتل ایک غیر قانونی عمل ہے یا غلط ہے؟,اس طرح کا طرز عمل ایک عوامی عمل ہے (جوئے خطرے میں),ایسا طرز عمل کبھی بھی قوت مدافعت کو راغب نہیں کرتا,اس طرح کا طرز عمل ایک نجی عمل ہے (جور گیسٹونس),اس طرح کا طرز عمل ایک عوامی عمل ہے لیکن اسے استثنیٰ حاصل ہے۔,C
"یہ سوال مندرجہ ذیل معلومات کی طرف اشارہ کرتا ہے.
سب سے پہلے ہمیں یہ کہنا چاہیے کہ کائنات شکل میں گول ہے، جزوی طور پر کیونکہ یہ شکل ایک کامل مکمل ہے جس میں جوڑوں کی ضرورت نہیں ہے، سب سے زیادہ مکمل ہے، جزوی طور پر اس وجہ سے کہ یہ سب سے زیادہ پیچیدہ شکل بناتا ہے، جو ہر چیز کو شامل کرنے اور محفوظ کرنے کے لئے سب سے زیادہ موزوں ہے. یا پھر اس لیے کہ کائنات کے تمام اجزاء یعنی سورج، چاند اور سیارے اس شکل میں ظاہر ہوتے ہیں۔ یا کیونکہ ہر چیز اس شکل کو حاصل کرنے کی کوشش کرتی ہے ، جیسا کہ پانی کے قطروں اور دیگر سیال اجسام کے معاملے میں ظاہر ہوتا ہے اگر وہ خود کو بیان کرنے کی کوشش کرتے ہیں۔ لہٰذا کسی کو شک نہیں ہوگا کہ یہ شکل آسمانی اجسام کی ہے۔ ...
لہٰذا اس بات میں کوئی شک نہیں کہ زمین بھی گول ہے کیونکہ یہ اپنے مرکز پر چاروں طرف سے دباتی ہے۔ اگرچہ پہاڑوں کی اونچائی اور وادیوں کے دباؤ کی وجہ سے ایک کامل دائرے کو سمجھا نہیں جا سکتا ہے ، پھر بھی اس سے زمین کی عمومی کروی فطرت متاثر نہیں ہوتی ہے۔ ...
جیسا کہ یہ پہلے ہی دکھایا جا چکا ہے کہ زمین ایک گولے کی شکل رکھتی ہے، ہمیں اس بات پر غور کرنا چاہئے کہ آیا کوئی حرکت بھی اس شکل کے ساتھ میل کھاتی ہے، اور کائنات میں زمین کا کیا مقام ہے۔ ... مصنفین کی اکثریت یقینا اس بات پر متفق ہے کہ زمین اب بھی کائنات کے مرکز میں کھڑی ہے ، اور اس کے برعکس تصور کرنا ناقابل فہم اور مضحکہ خیز سمجھتے ہیں۔ لیکن اگر اس معاملے کا بغور جائزہ لیا جائے تو یہ دیکھا جائے گا کہ یہ سوال ابھی تک حل نہیں ہوا ہے اور اس لیے اسے کسی بھی طرح ہلکے سے نہیں لیا جا سکتا۔ جگہ کی ہر تبدیلی جو مشاہدہ کی جاتی ہے، یعنی مشاہدے میں آنے والی شے یا مبصر کی حرکت، یا دونوں کی حرکات کی وجہ سے ہوتی ہے۔ ... اب یہ زمین سے ہے کہ آسمان کا انقلاب دیکھا جاتا ہے اور یہ ہماری آنکھوں کے لئے پیدا ہوتا ہے۔ لہٰذا اگر زمین حرکت نہ کرے تو یہ حرکت زمین سے باہر کی ہر چیز میں ہونی چاہیے، لیکن اس کے برعکس سمت میں ہوتی ہے اگر زمین پر ہر چیز حرکت کرتی ہے، اور اس طرح کا روزانہ کا انقلاب ہوتا ہے۔ تو ایسا لگتا ہے کہ یہ پوری کائنات کو متاثر کرتا ہے، یعنی زمین سے باہر کی ہر چیز کو صرف زمین کے علاوہ. تاہم، اگر کسی کو یہ تسلیم کرنا چاہئے کہ یہ حرکت آسمانوں کے لئے مخصوص نہیں تھی، بلکہ یہ کہ زمین مغرب سے مشرق کی طرف گردش کر رہی تھی، اور اگر سورج، چاند اور ستاروں کے ظاہری طلوع اور غروب ہونے کے بارے میں احتیاط سے غور کیا جائے تو پتہ چلے گا کہ یہ اصل صورتحال تھی.
- نکولس کوپرنیکس، آسمانی اجسام کے انقلابات، 1543
اس اقتباس کو اس بات کے ثبوت کے طور پر استعمال کیا جاسکتا ہے کہ کوپرنیکس اپنے وقت کے روایتی ، آرسٹولیائی قدرتی فلسفیوں سے مختلف تھا کیونکہ اس نے مشورہ دیا تھا کہ",کائنات گول ہے,زمین گول ہے,کائنات جغرافیائی ہے,زمین مستحکم نہیں ہے,D
1.0 ایم فینول ، سی 6 ایچ 5 او ایچ ، حل میں ایچ + (اے کیو) ارتکاز کا تعین کریں۔ (فینول کے لئے کا 1 × 10^-10 ہے۔,1 × 10^-10 M,1 × 10^-9 M,1 × 10^-3 M,1 × 10^-5 M,D
"ہندوستان سے امریکہ منتقلی پر غور کرتے وقت ریوا کے لئے مندرجہ ذیل میں سے کون سے عوامل کو ""پل"" عنصر سمجھا جائے گا؟",انتہائی غربت,بہتر ملازمت اور زیادہ اجرت,بھارت کا ذات پات کا نظام,اس کے پڑوس میں تشدد,B
انگلستان اور اسرائیل جیسے ممالک کی سیاسی جماعتوں کے مقابلے میں ، جن دونوں میں کثیر الجماعتی نظام موجود ہیں ، امریکی سیاسی جماعتیں ہیں۔,انتخابات کے نتائج پر اثر انداز ہونے میں کم دلچسپی,مستقل سیاسی نظریات کے ساتھ کم واضح طور پر شناخت کی جاتی ہے,سیاسی حامیوں سے پیسے جمع کرنے میں کم مؤثر,اپنے پورے حلقوں کے اہداف کی بہتر عکاسی کرنے کے قابل,B
ایک تعداد، جو قریب ترین ہزار کے قریب ہے، 47،000 ہے. کون سا نمبر وہ نمبر ہو سکتا ہے جو گول تھا؟,"46,295","46,504","47,520","47,924",B
ایک ٹینک سہ رخی پرزم کی شکل میں ہے۔ اگر سہ رخی بنیاد کا رقبہ 116 مربع فٹ ہے ، اور ٹینک 30 فٹ لمبا ہے ، تو جب ٹینک بھرا ہوا ہوگا تو اس میں کتنا پانی ہوگا؟,1725 فٹ ^3,1740 فٹ ^3,3480 فٹ ^3,6960 فٹ ^3,C
انڈیکٹر میں پیدا ہونے والے وولٹیج کو اس طرح پیش کیا جاتا ہے،,اس کے ذریعے اس کی تحریک اور کرنٹ کی پیداوار.,اس کے ذریعے کرنٹ سے اس کی منتقلی کا تناسب۔,اس کے ذریعے کرنٹ کا تناسب اور اس کی انڈکشن۔,اس کے ذریعے کرنٹ کی تبدیلی کی شرح اور اس کے ذریعے اس کی آمد و رفت کی پیداوار۔,D
مندرجہ ذیل میں سے کون سی خصوصیات عام طور پر ڈیٹ ریپ سے مطابقت رکھتی ہیں؟,ضرورت سے زیادہ طاقت کا استعمال,پہلے سے طے شدہ,جنسی طور پر حوصلہ افزائی,ہتھیار کا استعمال شامل ہے,C
ان پوائنٹس کے درمیان y = ln x کی لمبائی معلوم کریں جہاں y = 1/2 اور y = 1 ہے۔,0.53,0.86,1.18,1.36,C
Find $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$,1,-1,0,2,B
مغربی یورپ میں بیسویں صدی کے آغاز میں کون سا نفسیاتی نقطہ نظر سب سے زیادہ مقبول تھا؟,نفسیات,ارتقائی,برتاؤ پسند,نفسیاتی تجزیہ,D
سیکھی ہوئی بے بسی کا براہ راست تعلق اس سے ہونے کا زیادہ امکان ہے,بارنم اثر.,خود کی خدمت کرنے والا تعصب۔,کنٹرول کا ایک بیرونی ٹکڑا۔,غیر مشروط مثبت احترام.,C
گارسیا اور کوئلنگ کی تحقیق نے یہ ثابت کیا کہ مندرجہ ذیل میں سے کون سا یو سی ایس اور سی ایس جوڑا سب سے زیادہ طاقتور اور سب سے زیادہ تیزی سے سیکھا جاتا ہے؟,ایک کام انجام دینا اور کھانے کا انعام حاصل کرنا,متلی اور کھانا یا پینا,حرکت اور صدمہ,سزائیں اور انعامات,B
"مریخ کا کچھ پانی مٹی اور برف کی ٹوپیوں میں منجمد ہے اور کچھ شمسی ہواؤں کے پھٹنے کی وجہ سے ضائع ہو گیا تھا لیکن خیال کیا جاتا ہے کہ اصل پانی کا زیادہ تر حصہ کسی اور میکانزم کے ذریعے ضائع ہو گیا ہے۔ اس ""کھوئے ہوئے"" پانی کا کیا ہوا؟",جب اس کی طاقت میں تیزی سے کمی واقع ہوئی تو مقناطیسی میدان نے اسے چھین لیا۔,یہ الٹرا وائلٹ روشنی کے ذریعہ ہائیڈروجن اور آکسیجن میں ٹوٹ گیا تھا اور ہائیڈروجن تھرمل فرار کے ذریعہ کھو گیا تھا۔,اسے پیاسے مریخیوں کی تہذیب نے کھا لیا تھا,یہ شدید آتش فشاں کے دور میں بخارات بن گیا تھا اور تھرمل فرار کے ذریعے خلا میں کھو گیا تھا۔,B
1.5 × 10^6 میٹر / سیکنڈ کی ابتدائی رفتار سے سفر کرتے ہوئے ، ایک پروٹون 1.5 ٹی کی شدت کے مستقل مقناطیسی میدان کے علاقے میں داخل ہوتا ہے۔ اگر پروٹون کی ابتدائی رفتار ویکٹر مقناطیسی میدان کے ساتھ 30 ° کا زاویہ بناتی ہے تو ، مقناطیسی میدان میں داخل ہونے کے بعد پروٹون کی رفتار کا حساب 4 سیکنڈ کریں۔,5.0 × 10^6 میٹر / سیکنڈ,7.5 × 10^6 میٹر / سیکنڈ,1.5 × 10^6 میٹر / سیکنڈ,3.0 × 10^6 میٹر / سیکنڈ,C
ہائی انرجی فاسفیٹس، اے ٹی پی اور فاسفوکریٹین کے ٹوٹنے سے خارج ہونے والی توانائی، تقریبا زیادہ سے زیادہ مشقت کی مشق کو برقرار رکھ سکتی ہے:,1-2 سیکنڈ,5-10 سیکنڈ,30-40 سیکنڈ,50-60 سیکنڈ,B
سیریز سرکٹ میں ، اگر ایک چراغ میں کرنٹ 2 اے ہے تو ، اس کے ساتھ والے چراغ میں کرنٹ ہے۔,آدھا، 1 اے,2:00 بجے,اس پر منحصر ہے کہ کون سا لیمپ بیٹری کے قریب ہے,کہنے کے لئے کافی معلومات نہیں,B
مندرجہ ذیل میں سے کون سا وقت کے ساتھ مضبوط معاشی ترقی پیدا کرنے کا سب سے زیادہ امکان ہے؟,قدرتی وسائل کی زیادہ تیزی سے کھپت.,بالغوں کی ناخواندگی کی بلند شرح۔,کیپٹل گڈز کا گرتا ہوا اسٹاک۔,سرمایہ کاری ٹیکس کریڈٹ.,D
معیشت گہری کساد کا شکار ہے۔ اس معاشی صورتحال کو دیکھتے ہوئے زری پالیسی کے بارے میں مندرجہ ذیل میں سے کون سا بیان درست ہے؟,توسیع پسندانہ پالیسی صرف کساد کو مزید خراب کرے گی۔,توسیع پسندانہ پالیسی مجموعی طلب میں بہت زیادہ اضافہ کرتی ہے اگر سرمایہ کاری شرح سود میں تبدیلیوں کے بارے میں حساس ہے۔,سکڑاؤ کی پالیسی سرمایہ کاری اور کھپت کے لئے مناسب محرک ہے۔,اگر پیسے کی طلب مکمل طور پر لچکدار ہے تو توسیع ی زری پالیسی کافی مؤثر ہوسکتی ہے۔,B
کاروبار _________ کے مطالبات کی وجہ سے سوشل اکاؤنٹنگ میں مشغول ہوتے ہیں ، تاکہ ________ کی نشاندہی کی جاسکے ، ___________ کو بہتر بنایا جاسکے اور _________ کی حوصلہ افزائی کی جاسکے اور ___________,اسٹیک ہولڈرز، خطرات، اسٹیک ہولڈرز مینجمنٹ، احتساب، شفافیت,اسٹیک ہولڈرز، احتساب، شفافیت، خطرات، اسٹیک ہولڈرز مینجمنٹ,اسٹیک ہولڈرز، احتساب، خطرات، اسٹیک ہولڈرز، اسٹیک ہولڈرز مینجمنٹ,اسٹیک ہولڈرز، اسٹیک ہولڈرز مینجمنٹ، شفافیت، خطرات، احتساب,A
سپلائر پر عائد ٹیکس قیمت میں اضافے کی شکل میں صارفین پر منتقل ہونے کا زیادہ امکان ہے اگر,طلب کی قیمت کی لچک انتہائی لچکدار ہے.,طلب کی قیمت کی لچک انتہائی غیر لچکدار ہے۔,طلب کی قیمت لچک یونٹ لچکدار ہے.,مانگ کی اجرت کی لچک انتہائی لچکدار ہے۔,B
بیان 1 | ایک گروپ میں (ab)^{-2} = b^{-2}a^{-2}. بیان 2 | ایک گروپ میں (ab)^n = a^nb^n.,سچ، سچ,جھوٹ، جھوٹ,سچ ہے، جھوٹ,جھوٹ، سچ,B
ایک ملک میں مسابقت کس حد تک دوسرے ممالک میں مسابقت سے متاثر ہوتی ہے اس کے لئے کیا اصطلاح ہے؟,بین الاقوامی تجارت,عالمی معاشیات,عالمی مقابلہ,گلوبلائزیشن,D
"ایک پروگرامر نے ذیل میں پروگرام لکھا ہے. پروگرام نمبروں کی ایک فہرست استعمال کرتا ہے جسے نم لسٹ کہا جاتا ہے۔ پروگرام کا مقصد فہرست میں نمبروں کا مجموعہ ظاہر کرنا ہے۔
 مجموعی ← نمبر لسٹ [1]
 نم لسٹ میں ہر قیمت کے لئے
 رقم + قدر ← مجموعہ
 ڈسپلے sum
 پروگرام کی جانچ کرنے کے لئے ، پروگرامر نمبر لسٹ کو [0 ، 1 ، 4 ، 5] پر شروع کرتا ہے۔ پروگرام 10 دکھاتا ہے ، اور پروگرامر اس نتیجے پر پہنچتا ہے کہ پروگرام ارادے کے مطابق کام کرتا ہے۔ مندرجہ ذیل میں سے کون سا سچ ہے؟",نتیجہ درست ہے۔ پروگرام ارادے کے مطابق کام کرتا ہے.,نتیجہ غلط ہے۔ پروگرام ٹیسٹ کیس کے لئے صحیح قیمت ظاہر نہیں کرتا ہے [0، 1، 4، 5].,نتیجہ غلط ہے۔ ٹیسٹ کیس [0، 1، 4، 5] کا استعمال اس نتیجے پر پہنچنے کے لئے کافی نہیں ہے کہ پروگرام صحیح ہے.,نتیجہ غلط ہے۔ ٹیسٹ کیس [0، 1، 4، 5] کا استعمال صرف اس بات کی تصدیق کرتا ہے کہ پروگرام بڑھتی ہوئی ترتیب میں فہرستوں کے لئے کام کرتا ہے.,C
