Question,A,B,C,D,Answer
Wane cikin waɗannan fim masu ban tsoro ne ya fi sa mutane su ci gaba da yin hakan?,"""Ku yi yãƙi.""","""Lalle ne, ƙaho.""",Halloween',"Ranar Juma'a ta 13""",D
Wane cikin waɗannan abincin ne aka yi daga cikunan ɓarayi?,2019,2019,2019,ka yanke suey,B
Menene yaren Antonio Banderas?,Harshen Sifaniya,Harshen Rasha,Jamusanci,Harshen Faranshi,A
Menene harshen da ake amfani da shi a ƙasar Holland?,Harshen Denmak,Harshen Siwidin,Jamusanci,Harshen Holan,D
A wane yanayi ne fim na 1999 Na'ama' set?,California,South Carolina,Jojiya,Texas,A
Canje-canjen da ke sa achondroplasia suna da tasiri da za a iya kwatanta kamar:,abin da ba shi da kyau.,samun-da-aiki.,haploinsufficiency.,rashin aiki.,B
 Wannan kayan kasuwanci da tattaunawa yana ba da motsa kai tsaye ko kuma ƙarfafa masu sayan kayan aiki/hidimar:,Suna yin sanarwa.,Ƙulla dangantaka da jama'a.,Yadda ake sayar da kayan agaji.,Sayar da kai tsaye.,C
K-fold cross-ƙwararrun,A cikin K,2018 A K,kubu a K,a cikin K,A
Tsofaffi da suka tsufa suna kama da fiye da tsofaffi ko kuma manya,Mai Halitta,Neurotic,An yarda da shi,A'a.,A
Halayen da ke nuna cewa mutum yana da halin yabo yana da muhimmanci sosai,Kuskure na haɗari,Matsala ta ƙarya,Ka yi roƙon tambayar,Yin tunani a kai a kai,A
"Wannan tambayar tana nufin bayanin da ke gaba.
""Iri na mulkin mulkin mallaka suna kula da wahala da son kai. Suna yaɗuwa kuma suna girma a cikin ƙasa mai mugunta na talauci da jayayya. Suna samun ci gaba sosai sa'ad da begen mutane na rayuwa mai kyau ya mutu. Dole ne mu ci gaba da yin hakan. . . . An ba mu hakki mai girma ta wajen yin abubuwan da suka faru da sauri. . . . Ina da tabbacin cewa majalisar za ta fuskanci wadannan hakkoki a fili. ""
Shugaban gwamnati Harry S. Truman, a shekara ta 1947
Ra'ayoyin da aka ambata a cikin ƙasidar da ke sama sun nuna wane irin ci gaba ne ke gaba a tarihin Amirka?",Jayayya game da dangantakar tsakanin Kongomin da shugaban.,Jayayya game da yin amfani da iko na soja a yanayi da ba su da sauƙi.,Jayayya game da matsayin Amirka a al'amura na duniya.,Jayayya game da hakkin da ya dace na ' yan siyasa.,C
Wani marasa lafiya ya karye wuyansa kuma ya yi lahani a ƙwaƙwalwar ƙarfe na shida.,Ba za su iya yin numfashi ba tare da taimakon rai.,Bã zã su iya yin hũra ba fãce da sauƙi.,Ba zai yiwu ba mu fahimci yadda yin numfashi zai shafi yin numfashi.,Ba za a shafe yin numfashi ba.,B
Wane ne ɗaya daga cikin waɗannan da ke gaba ya nuna cewa ba shi da kyau?,An sake yin hakan a cikin waɗanda suka rage,Tsarin da ke canjawa a cikin waɗanda suka rage,Cikakken zane-zane a cikin ƙananan,"Duk da haka, duk abin da ke kusa da zero.",B
