Question,A,B,C,D,Answer
ካብዚ ዜፍርህ ፊልምታት እዚ ኣየናይ እዩ ዝያዳ ስዒቡ ዝመጸ?,ጭድርታ',ምንጋጋ',ሃሎዊን,ዓርቢ መበል 13,D
ካብዚ ብልዒ እዚ ኣየናይ እዩ ኻብ መዓናጥ ሓሰማ ዚስራሕ?,ሃጊስ,ቺትሊን,ግራውቲ,ሱይ ምቝራጽ,B
ኣንቶንዮ ባንደራስ ዚበሃል ተዋሳኢ እንታይ ቋንቋ እዩ ዚዛረብ?,ስፓኒሽኛ,ራሻኛ,ጀርመን,ፈረንሳይኛ,A
ወግዓዊ ቛንቋ ኔዘርላንድ እንታይ እዩ ?,ዳኒሽ,ስዊድንኛ,ጀርመን,ደችኛ,D
እታ ማግኖልያ ብ1999 እተዳለወት ፊልም ኣብ ኣየናይ ኵነታት እያ ዘላ?,ካሊፎርንያ,ሳውዝ ካሮሊና,ጆርጂያ,ቴክሳስ,A
እቲ ንኣኮኖድሮፕላዝያ ዜስዕብ ምዩቴሽን ነዚ ዝስዕብ ክምደብ ዝኽእል ጽልዋ ኣለዎ -,ዓብላሊ ኣሉታዊ ።,ጥቕሚ ዘለዎ ዕዮ።,ሃፕሎይንስ ይኣኽለኒ ምባል።,ካብ ስራሕ ምውጻእ።,B
 እዚ ናይ ዕዳጋን መራኸብን መሳርሒ እዚ ንዓማዊል ፍርያት/ኣገልግሎት ንኽዕድጉ ንምትብባዕ ቀጥታዊ መተባብዒ ወይ መተባብዒ ይህብ -,ረክላማት።,ህዝባዊ ርክባት ።,ዕቤት መሸጣ ።,ቀጥታዊ ንግዲ ።,C
ኬ-ፎልድ መስቀላዊ መረጋገጺ,መስመራዊ ኣብ ኬ,ኣብ ኬ ርብዕቶ,ኩቢክ ኣብ ኬ,ኣብ ኬ.,A
ኣብ ማእከላይ ዕድመ ዚርከቡ በጽሕታት ካብቶም ብዕድመ ዝደፍኡ ወይ ብዕድመ ዝነኣሱ ሰባት ንላዕሊ ____ እዮም ዚመስሉ,ጀነሬቲቭ,ስርዓተ መትኒ,ተቐባልነት ዘለዎ,ብርግጽ,A
ናይ ምስጋና ባህርያት ሓደ ዓይነት ጌጋ ኢዩ,ናይ ሓደጋ ጌጋ,ናይ ሓሶት መዋጥር,ነታ ሕቶ ለመንዋ,ክብ ዝበለ ኣተሓሳስባ,A
"እዛ ሕቶ እዚኣ ነዚ ዚስዕብ ሓበሬታ እያ እተመልክት ።
""ዘርኢ ውልቀ-ምልካዊ ስርዓታት ብጸበባን ድሌትን እዩ ዚምላእ። ኣብ ክፉእ ሓመድ ድኽነትን ባእስን ይዝርግሑን ይዓብዩን እዮም። ዝሓሸ ህይወት ንኺረኽቡ ዘለዎም ተስፋ ምስ ጠፍአ ምሉእ ዕቤቶም ይበጽሑ እዮም ። ነዚ ተስፋ እዚ ህያው ጌርና ኽንሕዞ ኣሎና። . . . ቅልጡፍ ምንቅስቓስ ፍጻመታት ዓብዪ ሓላፍነት እዩ ተዋሂቡና። . . . እቲ ኮንግረስ ነዚ ሓላፍነታት እዚ ምሉእ ብምሉእ ከም ዝስከሞ ርግጸኛ ኢየ።""
ፕረዚደንት ሃሪ ትሩማን ብ1947
እቲ ኣብዚ ኣብ ላዕሊ ዘሎ ሓሳባት ካብዚ ዚስዕብ ኣብ ታሪኽ ሕ. መ. ኣ.",ብዛዕባ እቲ ኣብ መንጎ ኮንግረስን ፕረዚደንትን ዘሎ ርክብ እተላዕለ ኽትዕ ።,ኣብ ዘይምርግጋእ ኵነታት ወተሃደራዊ ሓይሊ ብዛዕባ ምጥቃም እተላዕለ ኽትዕ ።,ሕቡራት መንግስትታት ኣመሪካ ኣብ ጕዳያት ዓለም ብዛዕባ ዘለዋ ግደ ዚለዓል ክትዕ ።,ብዛዕባ ግቡእ ግደ ፖለቲካዊ ሰልፊ ዚለዓል ክትዕ ።,C
ሓደ ሕሙም ክሳዱ ስለ እተሰብረ ዓንዲ ሕቘኡ ኣብ ሻድሻይ ደረጃ ዓንዲ ሕቘኡ ይጕዳእ ።,ብዘይ ናይ ህይወት ደገፍ ኬስተንፍሱ ኣይክእሉን እዮም ።,ህድእ ኢሎም ጥራይ እዮም ኬስተንፍሱ ዚኽእሉ።,ኣብ ምስትንፋስ እንታይ ጽልዋ ኸም ዜሕድር ክንበ ኣይንኽእልን ኢና ።,ምስትንፋስ ኣይኪትንክፍን እዩ።,B
ኣየናይ ካብዚ ዚስዕብ ኣሉታዊ ርእስኻ ናይ ምቍጽጻር ክእለት ከም ዘሎ እዩ ዚሕብር ?,ኣብ ዝተረፈ ዝተረፈ ዑደት,ኣብ ዝተረፈ ቕርጺ ዘሎ ኣማራጺ,ኣብ ዝተረፈ ምሉእ ብምሉእ ሃንደበታዊ ምዃን,ናብ ዜሮ ዝቐረበ ተሪፍዎ ዘሎ,B
