Question,A,B,C,D,Answer
O fea o nei ata matautia na sili ona tele ni isi ata?,Faataio',Auvae',Halloween',Aso Faraile lona 13',D
O fea o nei ipu e faia mai i totonu o puaa?,ā'oa'o,'ā'ā'ā,'a'a'o'oga,chop suey,B
O le a le gagana moni a le faatinoa o Antonio Banderas?,Gagana fa'aSipaniolo,Gagana Lusia,Gagana fa'aSiamani,Gagana fa'aFarani,A
O le a le gagana aloaia a Netherlands?,Gagana fa'aTanisi,Gagana Suetena,Gagana fa'aSiamani,Gagana fa'aSiamani,D
O le a le tulaga o loo i ai le seti o ata tifaga o le 1999 Magnolia?,Kalefonia,Karolaina i Saute,Keokia,Texas,A
O mutations e mafua ai le achondroplasia e i ai se aafiaga lea e mafai ona faavasegaina o:,le lelei.,mauaina o le aoga.,le lava.,leai se aoga.,B
 O lenei meafaigaluega faamaketi ma fesootaiga ua ofoina mai ai se faatosinaga tuusao po o se uunaiga e uunaia tagata faatau e faatau se oloa/auaunaga:,Faasalalauga.,Fegalegaleaiga i nofoaga faitele.,Faalauiloaina o faatauga.,Fefaatauaiga tuusao.,C
K-fold cross-validation o le,laina i le K,faatafafa i le K,cubic i le K,faateteleina i le K,A
O tagata matutua ua matutua le matutua e foliga mai e sili atu ____ nai lo tagata matutua matutua po o tagata matutua laiti,Faagaoioia,Ma'i,E Malilie i ai,Mautinoa,A
O le pepelo o uiga faamalo o se ituaiga o,O le sesē o faalavelave faafuasei,Faafitauli sese,Aioi atu i le fesili,Manatu faataamilo,A
"O le fesili lenei e faatatau i faamatalaga nei.
""O fatu o pulega saua e faafaileleina e ala i le faanoanoa ma le le mautonu. Sa latou salalau ma tuputupu ae i le eleele leaga o le mativa ma le fefinauaiga. Ua latou ausia lo latou tuputupu ae atoatoa pe a leai se faamoemoe o se nuu mo se olaga sili atu ona lelei. E tatau ona tatou faatumauina le ola o lena faamoemoe. . . . Ua tuuina mai i o tatou luga tiutetauave tetele e ala i le vave gaoioi o mea e tutupu. . . . Ou te mautinoa o le a feagai tonu lava le Konekaresi ma nei tiutetauave.""
Peresitene Harry S. Truman, 1947
O manatu o loo faaalia i le fuaitau o loo i luga e sili ona atagia tonu mai ai po o fea o faaauauga nei i le talafaasolopito o le I.S.?",Finauga e uiga i le sootaga i le va o le Konekaresi ma le peresitene.,Finauga e uiga i le faaaogaina o le malosiaga faamiliteli i tulaga e le mautonu.,Finauga e uiga i le matafaioi a le Iunaite Setete i mataupu tau i le lalolagi.,Finauga e uiga i le matafaioi talafeagai a vaega faapolotiki.,C
