Question,A,B,C,D,Answer
Welcher dieser Horrorfilme hat die meisten Fortsetzungen hervorgebracht?,"Schrei""",Der weiße Hai,Halloween',Freitag der 13.,D
Welches dieser Gerichte wird aus Schweinedärmen hergestellt?,Haggis,Chitlins,Grütze,Chop Suey,B
Was ist die Muttersprache des Schauspielers Antonio Banderas?,Spanisch,Russisch,Deutsch,Französisch,A
Was ist die Amtssprache der Niederlande?,Dänisch,Schwedisch,Deutsch,Holländisch,D
In welchem Zustand befindet sich der Film Magnolia aus dem Jahr 1999?,Kalifornien,South Carolina,Georgien,Texas,A
"Mutationen, die eine Achondroplasie verursachen, üben eine Wirkung aus, die wie folgt klassifiziert werden kann:",dominant negativ.,Gain-of-Function.,Haploinsuffizienz.,Funktionsverlust.,B
"Dieses Marketing- und Kommunikationsinstrument bietet einen direkten Anreiz oder einen Anreiz, um Kunden zum Kauf eines Produkts/einer Dienstleistung zu bewegen:",Werbung.,Öffentlichkeitsarbeit.,Absatzförderung.,Direktvermarktung.,C
Die K-fache Kreuzvalidierung ist,linear in K,quadratisch in K,kubisch in K,exponentiell in K,A
Erwachsene mittleren Alters scheinen mehr ____ zu sein als ältere oder jüngere Erwachsene,Generativ,Neurotisch,Angenehm,Bestimmt,A
Der Trugschluss der lobenden Persönlichkeit ist eine besondere Art von,Der Trugschluss des Zufalls,Falsches Dilemma,Die Frage stellt sich,Zirkelschluss,A
