Question,A,B,C,D,Answer
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D
Which of these dishes is made from pig intestines?,haggis,chitlins,grits,chop suey,B
What is actor Antonio Banderas native language?,Spanish,Russian,German,French,A
What is the official language of The Netherlands?,Danish,Swedish,German,Dutch,D
In what state is the 1999 movie Magnolia' set?,California,South Carolina,Georgia,Texas,A
Mutations that cause achondroplasia exert an effect which can be classified as:,dominant negative.,gain-of-function.,haploinsufficiency.,loss-of-function.,B
This marketing and communication tool offers a direct inducement or an incentive to encourage customers to buy a product/service:,Advertising.,Public relations.,Sales promotion.,Direct marketing.,C
K-fold cross-validation is,linear in K,quadratic in K,cubic in K,exponential in K,A
Middle-aged adults appear to be more ____ than older or younger adults,Generative,Neurotic,Agreeable,Certain,A
The fallacy of laudatory personality is a specific type of,The fallacy of accident,False dilemma,Begging the question,Circular reasoning,A
"This question refers to the following information.
""The seeds of totalitarian regimes are nurtured by misery and want. They spread and grow in the evil soil of poverty and strife. They reach their full growth when the hope of a people for a better life has died. We must keep that hope alive. . . . Great responsibilities have been placed upon us by the swift movement of events. . . . I am confident that the Congress will face these responsibilities squarely.""
President Harry S. Truman, 1947
The ideas expressed in the passage above most directly reflect which of the following continuities in U.S. history?",Debates about the relationship between Congress and the president.,Debates about the use of military force in volatile situations.,Debates about the role of the United States in world affairs.,Debates about the proper role of political parties.,C
A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.,They will be unable to breathe without life support.,They will only be able to breathe quietly.,It is impossible to predict an effect on breathing.,Breathing will be unaffected.,B
Negative residual autocorrelation is indicated by which one of the following?,A cyclical pattern in the residuals,An alternating pattern in the residuals,A complete randomness in the residuals,Residuals that are all close to zero,B
Identify the antecedent of the following conditional proposition: The Bees win their first game only if either the Aardvarks or the Chipmunks do not win their first games.,The Aardvarks do not win their first game.,The Bees win their first game.,The Chipmunks do not win their first game.,Either the Aardvarks or the Chipmunks do not win their first games.,B
