Question,A,B,C,D,Answer
Ezek közül a horrorfilmek közül melyik szülte a legtöbb folytatást?,"Sikoly""","Pofák""",Halloween',"Péntek 13-án""",D
Melyik étel készül sertésbélből?,Haggis,kitlinek,Kukoricadara,Chop Suey,B
Mi Antonio Banderas színész anyanyelve?,Spanyol,Orosz,Német,Francia,A
Mi Hollandia hivatalos nyelve?,Dán,Svéd,Német,Holland,D
Milyen állapotban játszódik az 1999-es Magnólia című film?,Kalifornia,Dél-Karolina,Grúzia,Texas,A
"Az achondroplasiát okozó mutációk olyan hatást fejtenek ki, amely a következőképpen osztályozható:",domináns negatív.,funkciónyereség.,haploelégtelenség.,funkcióvesztés.,B
" Ez a marketing- és kommunikációs eszköz közvetlen ösztönzést vagy ösztönzést kínál arra, hogy ösztönözze az ügyfeleket egy termék / szolgáltatás megvásárlására:",Reklám.,Közönségkapcsolatok.,Reklámozás.,Direkt marketing.,C
A K-szeres keresztellenőrzés,lineáris K-ban,kvadratikus K-ban,köbös K-ban,exponenciális K-ben,A
"Úgy tűnik, hogy a középkorú felnőttek _____-ban vannak, mint az idősebb vagy fiatalabb felnőttek",Nemző,Neurotikus,Kellemes,Bizonyos,A
A dicséretes személyiség tévedése egy speciális típusú,A baleset tévedése,Hamis dilemma,Könyörög a kérdésért,Körkörös érvelés,A
"Ez a kérdés a következő információkra vonatkozik.
""A totalitárius rendszerek magvait a nyomor és a nélkülözés táplálja. Terjednek és növekednek a szegénység és a viszály gonosz talajában. Teljes növekedésüket akkor érik el, amikor egy nép jobb életbe vetett reménye elhalt. Életben kell tartanunk ezt a reményt... Nagy felelősséget rótt ránk az események gyors mozgása. . . Biztos vagyok benne, hogy a kongresszus nyíltan szembe fog nézni ezekkel a felelősségekkel.""
Harry S. Truman elnök, 1947
A fenti szakaszban kifejtett gondolatok a legközvetlenebbül tükrözik az Egyesült Államok történelmének alábbi folytonosságait?",Viták a Kongresszus és az elnök kapcsolatáról.,Viták a katonai erő ingatag helyzetekben történő alkalmazásáról.,Viták az Egyesült Államok szerepéről a világ ügyeiben.,Viták a politikai pártok megfelelő szerepéről.,C
"A beteg törött nyakát szenved, és a hatodik nyaki csigolya szintjén károsítja a gerincvelőt.",Nem tudnak lélegezni élettámogatás nélkül.,Csak csendesen lélegezhetnek.,Lehetetlen megjósolni a légzésre gyakorolt hatást.,A légzést ez nem befolyásolja.,B
A negatív maradék autokorrelációt az alábbiak közül melyik jelzi?,Ciklikus mintázat a maradékokban,Váltakozó minta a maradékokban,Teljes véletlenszerűség a maradékokban,"Maradékok, amelyek mind közel vannak a nullához",B
"Határozza meg a következő feltételes javaslat előzményét: A Méhek csak akkor nyerik meg az első meccsüket, ha az Aardvarkok vagy a Mókusok nem nyerik meg az első meccseiket.",Az Aardvarks nem nyeri meg első meccsét.,A Méhek megnyerik első meccsüket.,A mókusok nem nyerik meg az első meccsüket.,"Vagy az Aardvarkok, vagy a Mókusok nem nyerik meg első meccseiket.",B
"A diákok növényi pigmentelválasztási gyakorlatot végeznek, amely megköveteli tőlük, hogy zárt kromatográfiás kamrát használjanak, kis mennyiségű acetonnal a kamra alján. Az acetonra vonatkozó biztonsági figyelmeztetések között szerepel az a kijelentés, hogy szem- és bőrirritáló, és gyúlékony gőzöket tartalmaz. Az alábbiak közül milyen biztonsági óvintézkedéseket kell tenniük a tanulóknak a gyakorlat során?","Tűzálló kesztyű felhelyezése, hogy a kamrát füstelszívóhoz vigye, ha az aceton kigyullad","A kamra zárt, sötétített szekrénybe helyezése a pigmentelválasztás idejére","Bőrkesztyű viselése, valamint az orr és a száj eltakarása részecskemaszkkal",Védőszemüveg és nitril típusú kesztyű viselése és az összes acetontartály zárva tartása,D
