Question,A,B,C,D,Answer
د دې وحشتناک فلمونو څخه کوم یو ترټولو ډیر سیکولونه رامینځته کړی؟,چیغې,د,هالووین,دجمعې په ۱۳مه,D
کوم خواړه د خوګ کولمو څخه جوړ شوی دی؟,هاګس,تالن,کړچول,غوړپ,B
د انتونیو بانډیراس اصلی ژبه څه ده؟,هسپانوي,روسي,الماني ژبه,فرانسوي ژبه,A
د هالنډ رسمی ژبه څه ده؟,ډنمارکي,سویډني,الماني ژبه,هالنډي,D
د ۱۹م کال د مګنولیا فلم په کوم حالت کې دی؟,کالیفورنیا,جنوبی کارولینا,ګورجستان,ټیکساس,A
هغه بدلونونه چې د Achondroplasia لامل کیږی یو اغیز لری چې کیدای شی په لاندې ډول طبقه بندی شی:,غالب منفی.,د دندې ترلاسه کول.,د هیپولین کافی.,د فعالیت له لاسه ورکول.,B
 دا بازارموندنه او مخابراتی وسیله مستقیم هڅونه یا هڅونه وړاندې کوی ترڅو پیرودونکی د محصول / خدمت پیرود لپاره وهڅوی:,اعلانونه,عامه اړیکې.,د پلور ترویج.,په مستقیم ډول د بازارموندنې.,C
د K-Fold د اعتبار وړ دی,په K کې لینار,په K کې څلور اړخیزه,کیوبک په K,په K کې توان لرونکی,A
د منځنی عمر لرونکی بالغان د زړو یا ځوانو لویانو په پرتله ډیر ښکاری,تولید,نیوروټیک,د منلو وړ,ډاډه,A
د انسان د شخصیت د ښه والی له امله د انسان د شخصیت په اړه د هغه د شخصیت د شخصیت په اړه د هغه,د حادثې په اړه د غلطۍ,غلطه ستونزه,د پوښتنې غوښتنه کول,دایروی استدلال,A
"دا پوښتنه لاندې معلوماتو ته اشاره کوی.
""د ټولو رژیمونو تخمونه د بدبختۍ او غوښتنو لخوا تغذیه کیږی. دوی د فقر او شخړې په بد خاوره کې خپریږی او وده کوی. دوی خپل بشپړ وده ته رسیږی کله چې د غوره ژوند لپاره د خلکو امید مړ شی. موږ باید دا امید ژوندی وساتو ... د ګړندی حرکت له امله موږ ته لوی مسؤلیتونه ورکړل شوی ... زه ډاډه یم چې حکومت به په مستقیم ډول د دې مسؤلیتونو سره مخ شی. ""
ولسمشر هری ترومان، 1947
په پورته برخه کې څرګند شوی نظرونه په مستقیم ډول منعکس کوی چې د متحده ایالاتو په تاریخ کې کوم دوام لری؟",د پارلمان او ولسمشر تر منځ د اړیکو په اړه بحثونه.,په بې ثباته شرایطو کې د نظامی ځواک کارولو په اړه بحثونه.,په نړیوالو چارو کې د امریکا د رول په اړه بحثونه.,د سیاسی ګوندونو د رول په اړه بحثونه.,C
یو ناروغ د شپږم رحم د رګونو په کچه د نخاعی نخاع ته زیان سره مات شوی غاړه لری.,دوی به د ژوند ملاتړ پرته تنفس نشی کولی.,دوی یوازې په ارامۍ سره تنفس کولی شی.,دا ناممکن دی چې په تنفس باندې د اغیزې وړاندوینه وکړئ.,تنفس به بې اغیزې وی.,B
ایا د AutoCorrelation منفی پاتې دی چې د لاندې یو له خوا اشاره کیږی؟,په پاتې شونو کې د سایکلیک سټایل,په پاتې شونو کې د بدیل ب patternه,په پاتې شونو کې بشپړ تصادفی,ټول هغه څه چې صفر ته نږدې دی,B
د لاندې شرطی وړاندیز مخکینی پیژندل: مچۍ یوازې خپله لومړۍ لوبه وګټی که چیرې اډوارکس یا چپمنکس خپلې لومړۍ لوبې ونه ګټی.,د یادونې وړ ده چې د افغانستان کرکټ لوبډلې خپله لومړۍ لوبه هم نه ده ګټلې.,د دغې لوبې لومړۍ لوبه د افغانستان لوبډلې وګټله.,د کرېکټ لوبغاړی خپلې لومړنۍ لوبې نه دی ګټلی.,د کرېکټ لوبغاړی او کرېکټ لوبغاړی خپلې لومړنۍ لوبې نه ګټی.,B
