Question,A,B,C,D,Answer
Bu korku filmlerinden hangisi en çok devam filmi çekti?,Çığlık atmak',Çeneler',Cadılar Bayramı',13'üncü Cuma',D
Bu yemeklerden hangisi domuz bağırsaklarından yapılır?,haggis,Çitler,Irmik,Doğrayın Suey,B
Aktör Antonio Banderas'ın ana dili nedir?,İspanyolca,Rusça,Almanca,Fransızca,A
Hollanda'nın resmi dili nedir?,Danca,İsveç dili,Almanca,Hollanda dili,D
1999 yapımı Magnolia' filmi hangi durumda geçiyor?,California,Güney Karolina,Gürcistan,Texas,A
"Akondroplaziye neden olan mutasyonlar, şu şekilde sınıflandırılabilecek bir etki gösterir:",baskın negatif.,işlev kazanımı.,haplo yetmezliği.,fonksiyon kaybı.,B
"Bu pazarlama ve iletişim aracı, müşterileri bir ürün/hizmet satın almaya teşvik etmek için doğrudan bir teşvik veya teşvik sunar:",Reklam.,Halkla ilişkiler.,Satış promosyonu.,Doğrudan pazarlama.,C
K-kat çapraz doğrulama,K cinsinden doğrusal,K'de ikinci dereceden,K cinsinden kübik,K cinsinden üstel,A
"Orta yaşlı yetişkinler, yaşlı veya genç yetişkinlerden daha fazla ____ gibi görünmektedir",Generatif,Nevrotik,Hoş,Belirli,A
"Övgü dolu kişiliğin yanılgısı, belirli bir tür",Kaza yanılgısı,Yanlış ikilem,Soruyu yalvarmak,Döngüsel akıl yürütme,A
"Bu soru aşağıdaki bilgileri ifade eder.
""Totaliter rejimlerin tohumları sefalet ve yokluktan beslenir. Yoksulluk ve çekişmenin kötü toprağında yayılır ve büyürler. Bir halkın daha iyi bir yaşam umudu öldüğünde tam büyümelerine ulaşırlar. Bu umudu canlı tutmalıyız. . . . Olayların hızlı hareketi bize büyük sorumluluklar yükledi. . . . Kongre'nin bu sorumluluklarla yüzleşeceğinden eminim.""
Başkan Harry S. Truman, 1947
Yukarıdaki pasajda ifade edilen fikirler, ABD tarihindeki aşağıdaki sürekliliklerden hangisini en doğrudan yansıtmaktadır?",Kongre ve başkan arasındaki ilişki hakkında tartışmalar.,Değişken durumlarda askeri güç kullanımı ile ilgili tartışmalar.,Amerika Birleşik Devletleri'nin dünya meselelerindeki rolü hakkında tartışmalar.,Siyasi partilerin uygun rolü hakkında tartışmalar.,C
"Bir hasta, altıncı servikal vertebra seviyesinde omuriliğe zarar veren kırık bir boyundan muzdariptir.",Yaşam desteği olmadan nefes alamayacaklar.,Sadece sessizce nefes alabilecekler.,Solunum üzerindeki etkisini tahmin etmek imkansızdır.,Solunum etkilenmeyecektir.,B
