Question,A,B,C,D,Answer
Care dintre aceste filme de groază a dat naștere celor mai multe continuări?,"Țipă""","Fălci""",Halloween',Vineri 13',D
Care dintre aceste feluri de mâncare este făcută din intestine de porc?,Haggis,chitline,Crupe,Chop Suey,B
Care este limba maternă a actorului Antonio Banderas?,Spaniolă,Rusă,Germană,Franceză,A
Care este limba oficială a Olandei?,Daneză,Suedeză,Germană,Olandeză,D
În ce stare se află filmul Magnolia din 1999?,California,Carolina de Sud,Georgia,Texas,A
Mutațiile care provoacă acondroplazie exercită un efect care poate fi clasificat ca:,dominant negativ.,câștig de funcție.,haploinsuficiență.,pierderea funcției.,B
Acest instrument de marketing și comunicare oferă un stimulent direct sau un stimulent pentru a încuraja clienții să cumpere un produs / serviciu:,Publicitate.,Relații publice.,Promovarea vânzărilor.,Marketing direct.,C
Validarea încrucișată K-fold este,liniar în K,pătratic în K,cubic în K,exponențial în K,A
Adulții de vârstă mijlocie par să fie mai ____ decât adulții mai în vârstă sau mai tineri,Generatoare,Nevrotic,Agreabil,Sigur,A
Eroarea personalității laudative este un tip specific de,Eroarea accidentului,Dilemă falsă,Cerșind întrebarea,Raționamentul circular,A
"Această întrebare se referă la următoarele informații.
""Semințele regimurilor totalitare sunt hrănite de mizerie și lipsuri. Ei se răspândesc și cresc în solul rău al sărăciei și conflictelor. Ele ajung la creșterea lor deplină atunci când speranța unui popor pentru o viață mai bună a murit. Trebuie să păstrăm vie această speranță. Mari responsabilități ne-au fost puse de mișcarea rapidă a evenimentelor. . . . Sunt încrezător că Congresul va face față acestor responsabilități în mod direct"".
Președintele Harry S. Truman, 1947
Ideile exprimate în pasajul de mai sus reflectă cel mai direct care dintre următoarele continuități din istoria SUA?",Dezbateri despre relația dintre Congres și președinte.,Dezbateri despre utilizarea forței militare în situații volatile.,Dezbateri despre rolul Statelor Unite în afacerile mondiale.,Dezbateri despre rolul adecvat al partidelor politice.,C
Un pacient suferă un gât rupt cu afectarea măduvei spinării la nivelul celei de-a șasea vertebre cervicale.,Ei nu vor putea respira fără suport de viață.,Ei vor putea doar să respire în liniște.,Este imposibil să se prevadă un efect asupra respirației.,Respirația nu va fi afectată.,B
Autocorelarea reziduală negativă este indicată prin care dintre următoarele?,Un model ciclic în reziduuri,Un model alternativ în reziduuri,O aleatorie completă a reziduurilor,Reziduuri care sunt aproape de zero,B
"Identificați antecedentul următoarei propoziții condiționale: Albinele câștigă primul lor joc numai dacă fie Aardvarks, fie Veverițele nu câștigă primele jocuri.",Aardvarks nu câștigă primul meci.,Albinele câștigă primul lor joc.,Veverițele nu câștigă primul meci.,"Nici Aardvarks, nici Veverițele nu câștigă primele meciuri.",B
"Elevii efectuează un exercițiu de separare a pigmenților plantelor care le cere să utilizeze o cameră cromatografică închisă cu o cantitate mică de acetonă în partea inferioară a camerei. Avertismentele de siguranță pentru acetonă includ afirmația că este iritant pentru ochi și piele și are vapori inflamabili. Dintre următoarele, ce măsuri de siguranță ar trebui să ia elevii în timpul desfășurării exercițiului?",Punerea mănușilor ignifuge pentru a transporta camera la o hotă de fum dacă acetona ia foc,"Plasarea camerei într-un dulap închis, întunecat pe durata separării pigmentului",Purtarea mănușilor din piele și acoperirea nasului și a gurii cu o mască de particule,Purtarea ochelarilor de protecție și a mănușilor de nitril și păstrarea tuturor recipientelor cu acetonă închise,D
Care dintre acestea face ca determinarea înrudirii evolutive a diferitelor specii pe baza secvenței de aminoacizi a proteinelor omoloage să fie în general mai puțin precisă decât determinările înrudirii bazate pe secvențele nucleotidice ale genelor omoloage?,Mutații silențioase,Duplicări genetice,Evenimente de translocație care schimbă secvențele genetice,Trecerea,A
Este omuciderea ilegală comisă de ministrul țării X în străinătate un act jure imperii sau jure gestionis?,Un astfel de comportament este un act public (jure imperii),Un astfel de comportament nu atrage niciodată imunitate,Un astfel de comportament este un act privat (jure gestionis),"Un astfel de comportament este un act public, dar este protejat de imunitate",C
"Această întrebare se referă la următoarele informații.
Mai întâi trebuie să remarcăm că cosmosul are o formă sferică, în parte pentru că această formă fiind un întreg perfect care nu necesită îmbinări, este cea mai completă dintre toate, în parte pentru că face forma cea mai capabilă, care este cea mai potrivită pentru a conține și conserva totul; sau din nou pentru că toate părțile constitutive ale universului, adică soarele, luna și planetele apar în această formă; sau pentru că totul se străduiește să atingă această formă, așa cum apare în cazul picăturilor de apă și al altor corpuri fluide, dacă încearcă să se definească. Deci, nimeni nu se va îndoi că această formă aparține corpurilor cerești. ...
Faptul că pământul este, de asemenea, sferic este, prin urmare, fără îndoială, pentru că apasă din toate părțile asupra centrului său. Deși din cauza înălțimilor munților și a depresiunilor văilor nu poate fi înțeles un cerc perfect, totuși acest lucru nu afectează natura sferică generală a pământului. ...
Deoarece s-a arătat deja că pământul are forma unei sfere, trebuie să ne gândim dacă o mișcare coincide și cu această formă și ce loc deține pământul în univers. ... Marea majoritate a autorilor, desigur, sunt de acord că pământul se află pe loc în centrul universului și consideră că este de neconceput și ridicol să presupunem contrariul. Dar dacă problema este cântărită cu atenție, se va vedea că problema nu este încă rezolvată și, prin urmare, în nici un caz nu trebuie privită cu ușurință. Orice schimbare de loc care este observată se datorează, și anume, unei mișcări a obiectului observat sau a observatorului sau mișcărilor amândurora. ... Acum de pe pământ se observă revoluția cerurilor și se produce pentru ochii noștri. Prin urmare, dacă pământul nu suferă nici o mișcare, această mișcare trebuie să aibă loc în tot ceea ce este în afara pământului, dar în direcția opusă decât dacă totul de pe pământ s-ar mișca, și de acest fel este revoluția zilnică. Deci, acest lucru pare să afecteze întregul univers, adică tot ceea ce se află în afara pământului, cu singura excepție a pământului însuși. Dacă, totuși, cineva ar admite că această mișcare nu a fost specifică cerurilor, ci că pământul se învârte de la vest la est, și dacă aceasta ar fi luată în considerare cu atenție în ceea ce privește răsăritul și apusul aparent al soarelui, lunii și stelelor, s-ar descoperi că aceasta era situația reală.
Nicolas Copernic, Revoluțiile corpurilor cerești, 1543
Pasajul poate fi folosit ca dovadă că Copernic se deosebea de filosofii naturali tradiționali, aristotelici din zilele sale, deoarece a sugerat că",Cosmosul este sferic,Pământul este sferic;,Cosmosul este geostatic,Pământul nu este staționar,D
"Se determină concentrația H+(aq) în soluție de fenol 1,0 M, C6H5OH. (Ka pentru fenol este 1 × 10^-10.)",1 × 10^-10 m,1 × 10^-9 m,1 × 10^-3 m,1 × 10^-5 m,D
"Care dintre următorii factori ar fi considerat un factor de ""atracție"" pentru Riva atunci când se ia în considerare o mutare din India în Statele Unite?",Sărăcie abjectă,Locuri de muncă mai bune și salarii mai mari,Sistemul de caste al Indiei,Violența din cartierul ei,B
"În comparație cu partidele politice din țări precum Anglia și Israel, ambele având sisteme multipartite, partidele politice americane sunt",mai puțin interesați să influențeze rezultatul alegerilor,mai puțin clar identificate cu ideologii politice consistente,mai puțin eficace în strângerea de bani de la susținătorii politici,mai în măsură să reflecte obiectivele întregii lor circumscripții,B
"Un număr, rotunjit la cea mai apropiată mie, este 47.000. Care număr ar putea fi numărul care a fost rotunjit?","46,295","46,504","47,520","47,924",B
"Un rezervor are forma unei prisme triunghiulare. Dacă baza triunghiulară are o suprafață de 116 metri pătrați, iar rezervorul are o înălțime de 30 de picioare, câtă apă ar conține rezervorul când este plin?",1725 ft^3,1740 ft^3,3480 ft^3,6960 ft^3,C
"Tensiunea indusă într-un inductor este reprezentată ca,",produsul inductanței sale și al curentului prin ea.,raportul dintre inductanța sa și curentul prin ea.,raportul dintre curentul prin acesta și inductanța sa.,produsul inductanței sale și viteza de schimbare a curentului prin ea.,D
"Care dintre următoarele caracteristici sunt, în general, în concordanță cu violul la întâlnire?",utilizarea forței excesive,premeditat,motivat sexual,implică utilizarea unei arme,C
Găsiți lungimea curbei y = ln x între punctele unde y = 1/2 și y = 1.,0.53,0.86,1.18,1.36,C
Găsiți $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$,1,-1,0,2,B
Care perspectivă psihologică a fost cea mai populară la începutul secolului al XX-lea în Europa de Vest?,Neuroscience,evoluțional,behaviorist,Psihanalitice,D
Neajutorarea învățată este cel mai probabil să fie direct legată de,efectul Barnum.,părtinire egoistă.,un locus de control extern.,respect pozitiv necondiționat.,C
Cercetările lui Garcia și Koelling privind aversiunile învățate au stabilit că care dintre următoarele perechi UCS și CS sunt cele mai puternice și învățate cel mai repede?,îndeplinirea unei sarcini și primirea unei recompense alimentare,greață și alimente sau băuturi,mișcare și șoc,Pedepse și recompense,B
