Question,A,B,C,D,Answer
Kura no šīm šausmu filmām radīja visvairāk turpinājumu?,"Kliedziens""","Žokļi""","Helovīns""","Piektdiena, 13. datums""",D
Kurš no šiem ēdieniem ir izgatavots no cūku zarnām?,haggis,Chitlins,Putraimi,karbonāde suey,B
Kāda ir aktiera Antonio Banderasa dzimtā valoda?,Spāņu,Krievu,Vācu,Franču,A
Kāda ir oficiālā valoda Nīderlandē?,Dāņu,Zviedru,Vācu,Holandiešu,D
Kādā stāvoklī ir 1999. gada filma Magnolija?,California,Dienvidkarolīna,Gruzija,Texas,A
"Mutācijas, kas izraisa ahondroplāziju, rada iedarbību, ko var klasificēt kā:",dominējošais negatīvais.,funkcijas pieaugums.,haploinsibility.,funkcijas zudums.,B
" Šis mārketinga un komunikācijas rīks piedāvā tiešu pamudinājumu vai stimulu, lai mudinātu klientus iegādāties produktu/pakalpojumu:",Reklāmas.,Sabiedriskās attiecības.,Pārdošanas veicināšana.,Tiešais mārketings.,C
K-fold krusteniskā validācija ir,lineāri izteikta K,kvadrāts K,kubikmetrā K,eksponenciāls K,A
"Šķiet, ka pusmūža pieaugušo ir vairāk ____ nekā vecāku vai jaunāku pieaugušo",Radošs,Neirotisku,Patīkamu,Noteiktu,A
Slavinošas personības maldīgums ir īpašs,Negadījuma maldi,Viltus dilemma,Lūdzot jautājumu,Riņķveida argumentācija,A
"Šis jautājums attiecas uz šādu informāciju.
""Totalitāro režīmu sēklas audzina posts un vēlme. Viņi izplatās un aug nabadzības un nesaskaņu ļaunajā augsnē. Viņi sasniedz savu pilno izaugsmi, kad tautas cerība uz labāku dzīvi ir mirusi. Mums šī cerība ir jāsaglabā dzīva. . . Mums ir uzlikti lieli pienākumi ar strauju notikumu gaitu. . . Esmu pārliecināts, ka kongress ar šiem pienākumiem saskarsies tieši.""
Prezidents Harijs S. Trūmens, 1947. gads
Iepriekš fragmentā paustās idejas vistiešākajā veidā atspoguļo to, kura no šīm kontinuitātēm ASV vēsturē?",Debates par Kongresa un prezidenta attiecībām.,Debates par militārā spēka izmantošanu nestabilās situācijās.,Debates par Amerikas Savienoto Valstu lomu pasaules lietās.,Debates par politisko partiju pienācīgu lomu.,C
Pacients cieš no salauzta kakla ar muguras smadzeņu bojājumiem sestā kakla skriemeļa līmenī.,Viņi nespēs elpot bez dzīvības atbalsta.,Viņi varēs tikai mierīgi elpot.,Nav iespējams paredzēt ietekmi uz elpošanu.,Elpošana netiks ietekmēta.,B
"Negatīvā atlikusī autokorelācija ir norādīta, ar kuru no šiem?",Ciklisks modelis atlikumos,Mainīgs modelis atlikumos,Pilnīga nejaušība atlikumos,"Atlikumi, kas visi ir tuvu nullei",B
"Nosakiet šāda nosacītā priekšlikuma priekšteci: Bites uzvar savu pirmo spēli tikai tad, ja vai nu Aardvarks, vai Chipmunks neuzvar savās pirmajās spēlēs.",Aardvarks neuzvar savu pirmo spēli.,Bites uzvar savu pirmo spēli.,Burunduki neuzvar savu pirmo spēli.,"Vai nu Aardvarks, vai Chipmunks neuzvar savas pirmās spēles.",B
"Studenti veic augu pigmentu atdalīšanas vingrinājumu, kas prasa, lai viņi izmantotu slēgtu hromatogrāfijas kameru ar nelielu acetona daudzumu kameras apakšā. Acetona drošības brīdinājumi ietver paziņojumu, ka tas kairina acis un ādu un tam ir uzliesmojoši tvaiki. No šiem: Kādi drošības pasākumi skolēniem jāievēro, veicot vingrinājumu?","Uzvelkot ugunsdrošus cimdus, lai aiznestu kameru uz velkmes pārsegu, ja acetons aizdegas","Kameras ievietošana slēgtā, tumšā skapī pigmenta atdalīšanas laikā",Valkājot ādas cimdus un nosedzot degunu un muti ar daļiņu masku,Aizsargbriļļu un nitrila tipa cimdu valkāšana un visu acetona trauku aizvēršana,D
"Kurš no tiem padara dažādu sugu evolucionārās radniecības noteikšanu, pamatojoties uz homologo proteīnu aminoskābju secību, parasti mazāk precīzu nekā radniecības noteikšana, pamatojoties uz homologu gēnu nukleotīdu sekvencēm?",Klusas mutācijas,Gēnu dublēšanās,"Translokācijas notikumi, kas maina gēnu sekvences",Pārbrauktuve,A
"Vai nelikumīgā slepkavība, ko izdarījis valsts ministrs X ārvalstīs, ir jure imperii vai jure gestionis darbība?",Šāda rīcība ir publisks akts (jure imperii),Šāda rīcība nekad nepiesaista imunitāti,Šāda rīcība ir privāta darbība (jure gestionis),"Šāda rīcība ir publisks akts, bet to aizsargā imunitāte",C
"Šis jautājums attiecas uz šādu informāciju.
Vispirms mums jāatzīmē, ka kosmoss ir sfērisks formā, daļēji tāpēc, ka šī forma ir ideāls veselums, kam nav nepieciešams savienojums, ir vispilnīgākais no visiem, daļēji tāpēc, ka tas padara ietilpīgāko formu, kas ir vislabāk piemērota, lai saturētu un saglabātu visu; vai atkal tāpēc, ka visas Visuma sastāvdaļas, tas ir, saule, mēness un planētas, parādās šādā formā; vai tāpēc, ka viss cenšas sasniegt šo formu, kā tas parādās ūdens un citu šķidruma ķermeņu pilienu gadījumā, ja viņi mēģina sevi definēt. Tāpēc neviens neapšaubīs, ka šī forma pieder debesu ķermeņiem. ...
Tāpēc tas, ka zeme ir arī sfēriska, nav apšaubāms, jo tā no visām pusēm nospiež savu centru. Lai gan kalnu pacēlumu un ieleju ieplaku dēļ perfektu apli nevar saprast, tomēr tas neietekmē zemes vispārējo sfērisko dabu. ...
Tā kā jau ir pierādīts, ka zemei ir sfēras forma, mums ir jāapsver, vai kustība sakrīt arī ar šo formu un kāda vieta zemei ir Visumā. ... Lielākā daļa autoru, protams, piekrīt, ka zeme stāv visuma centrā, un uzskata par neiedomājamu un smieklīgu domāt pretējo. Bet, ja jautājums tiek rūpīgi izsvērts, būs redzams, ka jautājums vēl nav atrisināts un tāpēc nekādā gadījumā nav jāuztver vieglprātīgi. Katra novērotā vietas maiņa ir saistīta ar novērotā objekta vai novērotāja kustību vai abu kustību cēloni. ... Tagad no zemes tiek novērota debesu revolūcija, un tā tiek ražota mūsu acīm. Tāpēc, ja zeme netiek pārvietota, šai kustībai jānotiek visā ārpus zemes, bet pretējā virzienā, nekā tad, ja viss uz zemes kustētos, un šāda veida ikdienas revolūcija. Tātad tas, šķiet, ietekmē visu Visumu, tas ir, visu ārpus zemes, izņemot pašu zemi. Tomēr, ja atzītu, ka šī kustība nebija raksturīga debesīm, bet zeme griezās no rietumiem uz austrumiem, un, ja tas tiktu rūpīgi apsvērts attiecībā uz šķietamo saules, mēness un zvaigžņu celšanos un rietēšanu, tiktu atklāts, ka tā bija reālā situācija.""
Nikolā Koperniks, Debesu ķermeņu revolūcijas, 1543
Šo fragmentu var izmantot kā pierādījumu tam, ka Koperniks atšķīrās no tradicionālajiem, aristoteliskajiem dabas filozofiem savā laikā, jo viņš ierosināja, ka",Kosmoss ir sfērisks,Zeme ir sfēriska,kosmoss ir ģeostatisks,Zeme nav nekustīga,D
"Nosaka H+(aq) koncentrāciju 1,0 M fenola C6H5OH šķīdumā. (Ka fenolam ir 1 × 10^-10.)",1 × 10^-10 m,1 × 10^-9 m,1 × 10^-3 m,1 × 10^-5 M,D
"Kurš no šiem faktoriem tiktu uzskatīts par Riva ""pievilkšanas"" faktoru, apsverot pārcelšanos no Indijas uz Amerikas Savienotajām Valstīm?",Galēja nabadzība,Labāks darbs un lielākas algas,Indijas kastu sistēma,Vardarbība viņas apkārtnē,B
