Question,A,B,C,D,Answer
Кой от тези филми на ужасите породи най-много продължения?,Писък',"Челюсти""","Хелоуин""","Петък 13-ти""",D
Кое от тези ястия е направено от свински черва?,хагис,Читлини,Зърно,котлет suey,B
Какъв е родният език на актьора Антонио Бандерас?,Испански,Руски,Немски,Френски,A
Какъв е официалният език на Нидерландия?,Датски,Шведски,Немски,Холандски,D
"В какво състояние е снимачната площадка на филма ""Магнолия"" от 1999 г.?",Калифорния,Южна Каролина,Грузия,Тексас,A
"Мутациите, които причиняват ахондроплазия, оказват ефект, който може да бъде класифициран като:",доминиращ негативен.,придобиване на функция.,хаплоинсуфициенция.,загуба на функция.,B
Този инструмент за маркетинг и комуникация предлага директен стимул или стимул за насърчаване на клиентите да закупят продукт / услуга:,Реклама.,Обществеността.,Насърчаване на продажбите.,Директен маркетинг.,C
K-fold кръстосаното валидиране е,линейни в K,квадратичен в K,кубичен в K,експоненциална в K,A
Възрастните на средна възраст изглежда са повече от по-възрастните или по-младите възрастни,Генеративен,Невротик,Приятен,Сигурен,A
Заблудата на хвалебствената личност е специфичен тип,Заблудата на случайността,Фалшива дилема,Задаване на въпроса,Кръгови разсъждения,A
"Този въпрос се отнася до следната информация.
""Семената на тоталитарните режими са подхранвани от мизерията и нуждата. Те се разпространяват и растат в злата почва на бедността и борбата. Те достигат пълния си растеж, когато надеждата на един народ за по-добър живот е умряла. Трябва да запазим тази надежда жива. . . Големи отговорности са ни възложени от бързото движение на събитията. Убеден съм, че Конгресът ще се изправи пред тези отговорности категорично.""
Президентът Хари С. Труман, 1947 г.
Идеите, изразени в горния пасаж, най-пряко отразяват коя от следните приемствености в историята на САЩ?",Дебати за отношенията между Конгреса и президента.,Дебати за използването на военна сила в нестабилни ситуации.,Дебати за ролята на САЩ в световните дела.,Дебати за правилната роля на политическите партии.,C
Пациент страда от счупен врат с увреждане на гръбначния мозък на нивото на шестия шиен прешлен.,Те няма да могат да дишат без животоподдържащи системи.,Те ще могат да дишат само тихо.,Невъзможно е да се предскаже ефект върху дишането.,Дишането няма да бъде засегнато.,B
Отрицателната остатъчна автокорелация е показана от кое от следните?,Цикличен модел в остатъците,Променлив модел в остатъците,Пълна случайност в остатъците,"Остатъци, които са близо до нула",B
Определете предшественика на следното условно предложение: Пчелите печелят първата си игра само ако Aardvarks или Chipmunks не спечелят първите си игри.,Аардварките не печелят първия си мач.,"""Пчелите"" печелят първия си мач.",Чипоносковците не печелят първия си мач.,"Или Aardvarks, или Chipmunks не печелят първите си игри.",B
"Студентите провеждат упражнение за разделяне на растителния пигмент, което изисква от тях да използват затворена хроматографска камера с малко количество ацетон в долната част на камерата. Предупрежденията за безопасност за ацетон включват изявлението, че той е дразнител за очите и кожата и има запалими изпарения. От следното ""каква предпазна мярка трябва да вземат учениците по време на провеждане на упражнението?","Поставяне на огнеупорни ръкавици за пренасяне на камерата до камина, ако ацетонът се запали","Поставяне на камерата в затворен, затъмнен шкаф за продължителността на разделянето на пигмента",Носенето на кожени ръкавици и покриването на носа и устата с маска за частици,Носене на очила и ръкавици тип нитрил и поддържане на всички контейнери с ацетон затворени,D
Кое от тях прави определянето на еволюционната свързаност на различните видове въз основа на аминокиселинната последователност на хомоложните протеини като цяло по-малко точно от определянето на свързаността въз основа на нуклеотидните последователности на хомоложните гени?,Тихи мутации,Дублиране на гени,"Транслокационни събития, които променят генните последователности",Пресичане,A
"Дали незаконното убийство, извършено от министъра на страната X в чужбина, е акт jure imperii или jure gestionis?",Такова поведение е публичен акт (jure imperii),Такова поведение никога не привлича имунитет,Такова поведение е частен акт (jure gestionis),"Такова поведение е публичен акт, но е защитено от имунитет",C
"Този въпрос се отнася до следната информация.
Първо трябва да отбележим, че космосът е сферичен по форма, отчасти защото тази форма, бидейки съвършено цяло, което не изисква стави, е най-пълната от всички, отчасти защото прави най-обемната форма, която е най-подходяща да съдържа и съхранява всичко; или отново, защото всички съставни части на вселената, т.е. слънцето, луната и планетите, се появяват в тази форма; или защото всичко се стреми да постигне тази форма, както се появява в случая с капки вода и други течни тела, ако се опитат да се самоопределят. Така че никой няма да се съмнява, че тази форма принадлежи на небесните тела. ...
Следователно това, че Земята също е сферична, е извън съмнение, защото тя притиска от всички страни към центъра си. Въпреки че поради издигането на планините и депресиите на долините не може да се разбере съвършен кръг, това не засяга общата сферична природа на земята. ...
Тъй като вече беше показано, че Земята има формата на сфера, трябва да помислим дали движението също съвпада с тази форма и какво място заема Земята във Вселената. ... По-голямата част от авторите, разбира се, са съгласни, че Земята стои неподвижно в центъра на Вселената и смятат за немислимо и нелепо да се предполага обратното. Но ако въпросът бъде внимателно претеглен, ще се види, че въпросът все още не е решен и следователно в никакъв случай не трябва да се разглежда лекомислено. Всяка промяна на мястото, която се наблюдава, се дължи именно на движение на наблюдавания обект или на наблюдателя, или на движения и на двете. ... Сега от земята се наблюдава въртенето на небето и се произвежда за нашите очи. Следователно, ако земята не претърпява никакво движение, това движение трябва да стане във всичко вън от земята, но в обратна посока, отколкото ако всичко на земята се движи, и от този вид е ежедневната революция. Така че това изглежда засяга цялата вселена, т.е. всичко извън земята с единственото изключение на самата земя. Ако обаче трябва да се признае, че това движение не е характерно за небесата, а че земята се върти от запад на изток, и ако това се обмисли внимателно по отношение на видимото изгряване и залязване на слънцето, луната и звездите, ще се открие, че това е реалната ситуация.
Николай Коперник, Революциите на небесните тела, 1543
Пасажът може да се използва като доказателство, че Коперник се различава от традиционните, Аристотелови природни философи на своето време, защото предполага, че",Космосът е сферичен,Земята е сферична,Космосът е геостатичен,Земята не е неподвижна,D
"Определя се концентрацията на H+(aq) в 1,0 M разтвор на фенол, C6H5OH. (Ка за фенол е 1 × 10^-10.)",1 × 10^-10 M,1 × 10^-9 M,1 × 10^-3 M,1 × 10^-5 M,D
"Кой от следните фактори би се считал за ""притегателен"" фактор за Riva, когато обмисля преместване от Индия в Съединените щати?",Унизителна бедност,По-добра работа и по-високи заплати,Кастовата система на Индия,Насилието в квартала,B
"В сравнение с политическите партии в страни като Англия и Израел, и двете от които имат многопартийни системи, американските политически партии са",по-малко заинтересовани от влияние върху резултата от изборите,по-малко ясно идентифицирани с последователни политически идеологии,по-малко ефективни при набирането на пари от политически поддръжници,по-способни да отразяват целите на всички свои избирателни райони,B
"Число, закръглено до най-близката хиляда, е 47 000. Кое число може да бъде числото, което е закръглено?","46,295","46,504","47,520","47,924",B
"Резервоарът е във формата на триъгълна призма. Ако триъгълната основа има площ от 116 квадратни фута, а резервоарът е висок 30 фута, колко вода ще съдържа резервоарът, когато е пълен?",1725 фута^3,1740 фута^3,3480 фута^3,6960 фута^3,C
"Напрежението, индуцирано в индуктор, се представя като:",продукт на неговата индуктивност и ток през него.,съотношение на неговата индуктивност към ток през него.,съотношение на тока през него към неговата индуктивност.,продукт на неговата индуктивност и скорост на промяна на тока през него.,D
