Question,A,B,C,D,Answer
Был ҡурҡыныс фильмдарҙың ҡайһыһы иң дауамлыһын тыуҙырҙы?,Ҡысҡырыу',Джавс',Хэллоуин',13-сө йома',D
Был ризыҡтарҙың ҡайһыһы сусҡа эсәгенән эшләнә?,хаггис,Читлиндар,Грит,чоп-суэй,B
Актер Антонио Бандерас туған тел ниндәй?,Испан теле,Урыҫ теле,Немец теле,Француз теле,A
Нидерландтың рәсми теле ниндәй?,Дат теле,Швед теле,Немец теле,Нидерланд теле,D
1999 йылда төшөргән «Магнолия» фильмы ниндәй хәлдә?,Калифорния,Көньяҡ Каролина,Грузия,Техас,A
"Ахондроплазия тыуҙырыусы мутациялар эффект бирә, уларҙы:",өҫтөнлөклө негатив.,табыш алыу.,гаплоинстуфлыҡ.,функцияһын юғалтыу.,B
Был маркетинг-элемтә ҡоралы клиенттарҙы тауар/сервис һатып алырға дәртләндереү өсөн туранан-тура индукция йәки стимул тәҡдим итә:,Реклама.,Йәмәғәтселек менән бәйләнеш.,Һатыуҙы алға этәреү.,Тура маркетинг.,C
К-йыйырсыҡлы арҡыры валидация,К-ла һыҙыҡлы,К-ла квадратик,К.-ла кубик,К-ла экспоненциаль,A
Өлкән йәштәгеләр ололарға йәки кесе йәштәгеләргә ҡарағанда күберәк____булып күренә,Генерирлау,Невротик,Килешле,Билдәле,A
Маҡтау шәхесенең яңылышлығы — билдәле бер төр,Аварияның яңылышлығы,Ялған дилемма,Һорауҙы ялрыу,Түңәрәк фекерләү,A
"Был һорау түбәндәге мәғлүмәттәргә ҡарай.
«Тоталитар режимдарҙың орлоҡтарын бәлә-ҡазалар һәм теләктәр тәрбиәләй. Фәҡирлектең һәм низағтарҙың яуыз тупрағында таралып үҫәләр. Халыҡтың яҡшы тормошҡа өмөтө үлгәс, улар тулы үҫешкә ирешә. Беҙ был өмөттө тере килеш һаҡларға тейеш . . . Ваҡиғаларҙың тиҙ үтеүе беҙгә ҙур яуаплылыҡ йөкмәтелде . . . Съезд был бурыстар алдында туранан-тура торасаҡ, тип ышанам».
Президент Гарри С. Трумэн, 1947 йыл
Юғарылағы өҙөктә әйтелгән идеялар АҠШ тарихында түбәндәге өҙлөкһөҙлөктәрҙең ҡайһыһын туранан-тура сағылдыра?",Конгресс менән президенттың үҙ-ара мөнәсәбәттәре тураһында бәхәстәр.,Тотороҡһоҙ ситуацияларҙа хәрби көс ҡулланыу тураһында бәхәстәр.,АҠШ-тың донъя эштәрендәге роле тураһында бәхәстәр.,Сәйәси фирҡәләрҙең тейешле роле тураһында бәхәстәр.,C
"Пациенттың муйыны һынған, умыртҡа һөйәге алтынсы муйын умыртҡа һөйәге кимәлендә зарарланған.",Тормош тәьминәтен ҡулланмайынса тын ала алмайҙар.,Тик улар тыныс ҡына тын ала ала.,Тын алыуға йоғонтоһон алдан әйтеп булмай.,Тын алыуға йоғонто яһамаясаҡ.,B
Кире ҡалдыҡ автокорреляция түбәндәгеләрҙең ҡайһыһы менән күрһәтелгән?,Ҡалдыҡтарҙа циклик ҡалып,Ҡалдыҡтарҙа сиратлашыу рәүеше,Ҡалдыҡтарҙа бөтөнләй осраҡлылыҡ,Бөтәһе лә нулгә яҡын ҡалдыҡтар,B
"Түбәндәге шартлы тәҡдимдең антецедентын асыҡлағыҙ: бал ҡорттары тәүге уйында ардварктар ҙа, чипмунктар ҙа тәүге уйындарҙа еңмәгән осраҡта ғына еңә.",Ардварктар тәүге уйында ла еңә алмай.,Бал биҙҙәре тәүге уйында еңә.,Чипмунктар тәүге уйында ла еңә алмай.,"Ардварктар ҙа, чипмунктар ҙа тәүге уйындарында еңә алмай.",B
"Студенттар үҫемлек пигментын айырыу буйынса күнегеүҙәр үткәрә, ул камера төбөндә аҙ миҡдарҙа ацетон булған ябыҡ хроматография камераһын ҡулланыуҙы талап итә. Ацетондың хәүефһеҙлеге тураһында иҫкәртеүҙәргә уның күҙ һәм тире иркәләүе һәм яныусан парҙары булыуы тураһында белдереү инә. Түбәндәгеләрҙән уҡыусылар күнегеүҙәр үткәргәндә ниндәй хәүефһеҙлек сараларын күрергә тейеш?","Ацетон янып китһә, камераны буталсыҡ капюшонға алып барыу өсөн уттан һаҡланыусы бирсәткә кейеү","Пигмент бүлеү мөҙҙәтенә камераны ябыҡ, ҡараңғыланған шкафҡа урынлаштырыу",Күн бирсәткә кейеү һәм танау менән ауыҙҙы киҫәксәләр маскаһы менән ҡаплау,Күҙлек һәм нитриль тибындағы бирсәткә кейеү һәм бөтә ацетон һауыттарын ябыҡ тотоу,D
Уларҙың ҡайһыһы гомология аҡһымдарының аминокислота эҙмә-эҙлелегенә нигеҙләнгән төрлө төрҙәрҙең эволюцион бәйлелеген билдәләүҙе гомология гендарының нуклеотидтар эҙмә-эҙлелегенә нигеҙләнгән туғанлыҡты билдәләүгә ҡарағанда теүәлерәк итә?,Тауышһыҙ мутациялар,Гендарҙы ҡабатлау,Гендар эҙмә-эҙлелеген үҙгәртеүсе транслокация ваҡиғалары,Кисеү,A
"X ил министрының сит илдә ҡылған законһыҙ үлтереүе юре империимы, әллә юре гестионисмы?",Бындай тәртип — йәмәғәт акты (юре империи),Бындай тәртип бер ҡасан да иммунитет йәлеп итә,Бындай тәртип — хосуси ғәмәл (юре гестионис),"Бындай тәртип йәмәғәт акты булып тора, әммә иммунитет менән ҡалҡа",C
