Question,A,B,C,D,Answer
Vilken av dessa skräckfilmer gav upphov till flest uppföljare?,"Skrik""","Hajen""","Halloween""",Fredagen den 13:e',D
Vilken av dessa rätter är gjord av gristarmar?,haggis,Chitlins,Gryn,Chop Suey,B
Vad är skådespelaren Antonio Banderas modersmål?,Spanska,Ryska,Tyska,Franska,A
Vilket är det officiella språket i Nederländerna?,Danska,Svenska,Tyska,Nederländska,D
I vilket skick utspelar sig filmen Magnolia från 1999?,Kalifornien,Södertälje,Georgien,Texas,A
Mutationer som orsakar akondroplasi utövar en effekt som kan klassificeras som:,dominerande negativa.,förstärkning av funktion.,haploinsufficiens.,förlust av funktion.,B
 Detta marknadsförings- och kommunikationsverktyg erbjuder en direkt uppmuntran eller ett incitament för att uppmuntra kunder att köpa en produkt/tjänst:,Reklam.,PR.,Säljfrämjande åtgärder.,Direktmarknadsföring.,C
K-faldig korsvalidering är,linjär i K,kvadratisk i K,kubik i K,exponentiell i K,A
Medelålders vuxna verkar vara mer ____ än äldre eller yngre vuxna,Generativa,Neurotisk,Angenäm,Säker,A
Villfarelsen att hylla personligheten är en specifik typ av,Olycksfallsvillfarelsen,Falskt dilemma,Tigger frågan,Cirkelresonemang,A
"Denna fråga avser följande information.
""Fröna till totalitära regimer närs av misär och nöd. De sprider sig och växer i fattigdomens och stridigheternas onda jord. De når sin fulla tillväxt när ett folks hopp om ett bättre liv har dött. Vi måste hålla det hoppet vid liv. Ett stort ansvar har lagts på oss genom händelsernas snabba utveckling. Jag är övertygad om att kongressen kommer att ta itu med detta ansvar på ett ärligt sätt.""
President Harry S. Truman, 1947
Vilka av följande kontinuiteter i USA:s historia återspeglas mest direkt av de idéer som uttrycks i avsnittet ovan?",Debatter om förhållandet mellan kongressen och presidenten.,Debatter om användning av militärt våld i instabila situationer.,Debatter om USA:s roll i världspolitiken.,Debatter om de politiska partiernas rätta roll.,C
En patient drabbas av en bruten nacke med skador på ryggmärgen i höjd med den sjätte halskotan.,De kommer inte att kunna andas utan livsuppehållande åtgärder.,De kommer bara att kunna andas tyst.,Det är omöjligt att förutsäga en effekt på andningen.,Andningen påverkas inte.,B
Vilken av följande indikerar negativ residualautokorrelation?,Ett cykliskt mönster i residualerna,Ett alternerande mönster i residualerna,En fullständig slumpmässighet i residualerna,Residualer som alla är nära noll,B
Identifiera föregångaren till följande villkorliga påstående: Bina vinner sin första match endast om antingen jordsvinen eller jordekorrarna inte vinner sina första matcher.,Jordsvinen vinner inte sin första match.,The Bees vinner sin första match.,Jordekorrarna vinner inte sin första match.,Varken Aardvarks eller Chipmunks vinner sina första matcher.,B
"Eleverna genomför en växtpigmentseparationsövning som kräver att de använder en sluten kromatografikammare med en liten mängd aceton i botten av kammaren. Säkerhetsvarningar för aceton inkluderar uttalandet att det är irriterande för ögon och hud och har brandfarliga ångor. Av följande: ""Vilka säkerhetsåtgärder bör studenterna vidta när de genomför övningen?",Ta på dig brandhämmande handskar för att bära kammaren till ett dragskåp om acetonet börjar brinna,"Placera kammaren i ett stängt, mörkt skåp under hela pigmentseparationen",Bär läderhandskar och täck näsa och mun med en partikelmask,Bär skyddsglasögon och handskar av nitriltyp och håll alla acetonbehållare stängda,D
Vilket av dessa gör att bestämningen av olika arters evolutionära släktskap baserat på aminosyrasekvensen av homologa proteiner i allmänhet är mindre exakt än bestämningar av släktskap baserat på nukleotidsekvenserna av homologa gener?,Tysta mutationer,Duplikationer av gener,Translokationshändelser som förändrar gensekvenser,Korsning,A
Är det olagliga mord som begåtts av ministern i land X utomlands en handling jure imperii eller jure gestionis?,Ett sådant handlande är en offentlig handling (jure imperii),Sådant beteende medför aldrig immunitet,Ett sådant beteende är en privat handling (jure gestionis),Sådant beteende är en offentlig handling men skyddas av immunitet,C
"Denna fråga avser följande information.
Först måste vi anmärka, att kosmos är sfäriskt till formen, dels därför att denna form, som är en fullkomlig helhet som inte behöver några fogar, är den mest fullständiga av alla, dels därför att den utgör den rymligaste formen, som är bäst lämpad att innehålla och bevara allting; eller återigen för att alla beståndsdelar av universum, det vill säga solen, månen och planeterna, framträder i denna form; Eller för att allt strävar efter att uppnå denna form, vilket visar sig i fallet med vattendroppar och andra flytande kroppar om de försöker definiera sig själva. Så ingen kommer att tvivla på att denna form tillhör himlakropparna. ...
Att jorden också är sfärisk är därför otvivelaktigt, eftersom den från alla håll trycker sig mot sitt centrum. Ehuru man på grund av bergens höjder och dalarnas sänkor icke kan förstå en fullkomlig cirkel, så inverkar detta dock icke på jordens allmänna sfäriska natur. ...
Då det redan har visats, att jorden har formen av en sfär, måste vi taga i betraktande, om en rörelse också sammanfaller med denna form, och vilken plats jorden har i världsalltet. ... Det stora flertalet författare är naturligtvis överens om att jorden står stilla i universums centrum och anser det otänkbart och löjligt att anta motsatsen. Men om saken noga övervägs, kommer man att se att frågan ännu inte är avgjord och därför inte på något sätt att ta lätt på. Varje förändring av platsen som observeras beror nämligen på en rörelse hos det observerade objektet eller observatören, eller på bådas rörelser. ... Nu är det från jorden som himlarnas rotation observeras och den frambringas för våra ögon. Om jorden alltså inte är i rörelse, så måste denna rörelse försiggå i allt utanför jorden, men i motsatt riktning än om allt på jorden rörde sig, och av detta slag är den dagliga revolutionen. Detta verkar alltså påverka hela universum, det vill säga allt utanför jorden med ett enda undantag för jorden själv. Men om man skulle medge att denna rörelse inte var speciell för himlen, utan att jorden roterade från väster till öster, och om detta noga övervägdes med hänsyn till solens, månens och stjärnornas skenbara upp- och nedgång, skulle det upptäckas att detta var den verkliga situationen.
Nicolas Copernicus, Himlakropparnas rotationer, 1543
Passagen kan användas som bevis för att Kopernikus skilde sig från sin tids traditionella, aristoteliska naturfilosofer eftersom han föreslog att",Kosmos är sfäriskt,jorden är sfärisk,Kosmos är geostatiskt,Jorden är inte stationär,D
"Bestäm H+(aq)-koncentrationen i 1.0 M fenol, C6H5OH, lösning. (Ka för fenol är 1 × 10^-10.)",1 × 10^-10 m,1 × 10^-9 M,1 × 10^-3 M,1 × 10^-5 M,D
"Vilken av följande faktorer skulle betraktas som en ""pull""-faktor för Riva när man överväger en flytt från Indien till USA?",Eländig fattigdom,Bättre jobb och högre löner,Indiens kastsystem,Våld i grannskapet,B
"Jämfört med politiska partier i länder som England och Israel, som båda har flerpartisystem, är de amerikanska politiska partierna",mindre intresserad av att påverka valresultatet,mindre tydligt identifierad med konsekventa politiska ideologier,mindre effektivt när det gäller att samla in pengar från politiska anhängare,bättre kunna återspegla målen för hela sina valkretsar,B
"Ett tal, avrundat till närmaste tusental, är 47 000. Vilket tal kan vara det tal som avrundades?","46,295","46,504","47,520","47,924",B
"En tank är i form av ett triangulärt prisma. Om den triangulära basen har en yta på 116 kvadratmeter och tanken är 30 fot hög, hur mycket vatten skulle tanken innehålla när den är full?",1725 ft^3,1740 ft^3,3480 ft^3,6960 ft^3,C
"Spänningen som induceras i en induktor representeras som,",produkten av dess induktans och ström genom den.,förhållandet mellan dess induktans och ström genom den.,förhållandet mellan ström genom den och dess induktans.,produkten av dess induktans och förändringshastighet för ström genom den.,D
Vilka av följande egenskaper är generellt förenliga med date rape?,Användning av överdrivet våld,överlagd,Sexuellt motiverad,innebär användning av ett vapen,C
Hitta längden på kurvan y = ln x mellan punkterna där y = 1/2 och y = 1.,0.53,0.86,1.18,1.36,C
Hitta $-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$,1,-1,0,2,B
Vilket psykologiskt perspektiv var mest populärt i Västeuropa vid sekelskiftet 1900?,neurovetenskap,evolutions,Behaviorist,Psykoanalytiska,D
Inlärd hjälplöshet är med största sannolikhet direkt relaterad till,Barnum-effekten.,egennyttiga fördomar.,en extern kontrollplats.,ovillkorlig positiv hänsyn.,C
Garcías och Koellings forskning om inlärda aversioner fastställde att vilket av följande UCS- och CS-par är de mest kraftfulla och inlärda snabbast?,utföra en uppgift och få en matbelöning,illamående och mat eller dryck,Rörelse och chock,Straff och belöningar,B
"En del av Mars vatten är fruset i jorden och istäckena och en del förlorades på grund av solvinden, men mycket av det ursprungliga vattnet tros ha gått förlorat genom en annan mekanism. Vad hände med detta ""förlorade"" vatten?",Den skalades bort av magnetfältet när den snabbt minskade i styrka,Det bröts ner till väte och syre genom ultraviolett ljus och vätet förlorades genom termisk flykt,den förtärdes av en civilisation av törstiga marsianer,Den förångades under en period av intensiv vulkanism och försvann ut i rymden genom termisk flykt,B
"En proton färdas med en utgångshastighet på 1,5 × 10^6 m/s och går in i ett område med konstant magnetfält med magnitud 1,5 T. Om protonens initialhastighetsvektor gör en vinkel på 30° med magnetfältet, beräkna protonens hastighet 4 s efter att ha kommit in i magnetfältet.",5.0 × 10^6 m/s,"7,5 × 10^6 m/s","1,5 × 10^6 m/s",3.0 × 10^6 m/s,C
"Den energi som frigörs från nedbrytningen av högenergifosfaterna, ATP och fosfokreatin, kan upprätthålla maximal ansträngning i ca:",1-2 sekunder.,5-10 sekunder.,30-40 sekunder.,50-60 sekunder.,B
"I en seriekrets, om strömmen i en lampa är 2 A, är strömmen i lampan bredvid den","halva, 1 A",02:00,Beror på vilken lampa som är närmast batteriet,Inte tillräckligt med information för att säga,B
Vilket av följande har störst sannolikhet att ge starkare ekonomisk tillväxt över tid?,Snabbare förbrukning av naturresurser.,Högre analfabetism bland vuxna.,Ett minskande lager av kapitalvaror.,Skattelättnader för investeringar.,D
Ekonomin befinner sig i en djup recession. Vilket av följande påståenden om penningpolitiken är korrekt mot bakgrund av detta ekonomiska läge?,En expansiv politik skulle bara förvärra lågkonjunkturen.,En expansiv politik ökar kraftigt den aggregerade efterfrågan om investeringarna är känsliga för ränteförändringar.,En åtstramande politik är en lämplig stimulans för investeringar och konsumtion.,Om efterfrågan på pengar är helt elastisk kan en expansiv penningpolitik vara ganska effektiv.,B
"Företag ägnar sig åt social redovisning på grund av krav från _________, för att identifiera ________, för att förbättra ___________ och för att uppmuntra _________ och ___________","Intressenter, Risker, Intressenthantering, Ansvarsskyldighet, Transparens","Intressenter, Ansvarsskyldighet, Transparens, Risker, Intressenthantering","Intressenter, Ansvar, Risker, Intressenter, Intressenthantering","Intressenter, intressenthantering, transparens, risker, ansvarsskyldighet",A
En skatt som åläggs en leverantör kommer med större sannolikhet att övervältras på konsumenten i form av prishöjningar om,Priselasticiteten i efterfrågan är mycket elastisk.,Priselasticiteten i efterfrågan är mycket oelastisk.,Efterfrågans priselasticitet är enhetselastisk.,Löneelasticiteten i efterfrågan är mycket elastisk.,B
Uttalande 1 | I en grupp (ab)^{-2} = b^{-2}a^{-2}. Uttalande 2 | I en grupp (ab)^n = a^nb^n.,"Sant, sant","Falskt, falskt","Sant, falskt","Falskt, Sant",B
Vad menas med i vilken utsträckning konkurrensen i ett land påverkas av konkurrensen i andra länder?,Internationell handel,Global ekonomi,Global konkurrens,Globalisering,D
"En programmerare skrev programmet nedan. Programmet använder en lista med nummer som kallas numList. Programmet är avsett att visa summan av talen i listan.
 summa ← numList [1]
 FÖR VARJE värde I numList
 Summa ← summa + värde
 VISA summa
 För att testa programmet initierar programmeraren numList till [0 , 1 , 4 , 5]. Programmet visar 10 och programmeraren drar slutsatsen att programmet fungerar som avsett. Vilket av följande är sant?",Slutsatsen är korrekt; Programmet fungerar som avsett.,"Slutsatsen är felaktig; Programmet visar inte rätt värde för testfallet [0, 1, 4, 5].","Slutsatsen är felaktig; Att använda testfallet [0, 1, 4, 5] är inte tillräckligt för att dra slutsatsen att programmet är korrekt.","Slutsatsen är felaktig; Att använda testfallet [0, 1, 4, 5] bekräftar bara att programmet fungerar för listor i stigande ordning.",C
Varför motsätter sig Parfit jämlikhet?,Han menar att ett ojämlikt samhälle är oundvikligt.,Han hävdar att vi kan öka jämlikheten genom att prioritera de fattigas behov.,Han hävdar att vi alla är ansvariga för vår fattigdom.,Han förkastar idén om jämlikhet helt och hållet.,B
"Denna fråga avser följande information.
""Ja, eftersom både fatwor från framstående [lärda] som baserar sin åsikt på både förnuft och tradition och det sunnitiska samfundets konsensus är överens om att den uråldriga skyldigheten att utrota, utrota och driva ut onda innovationer måste vara målet för vår upphöjda strävan, för ""religiös iver är en seger för Gud den Välgörandes Tro""; sedan, i enlighet med Profetens (frid vare med honom!) ord ""Var och en som inför ondskefulla innovationer i vår ordning måste utvisas"" och ""Den som gör något mot vår ordning måste utvisas"", handling har blivit nödvändig och tvingande...""
Brev från den osmanske sultanen Selim I till den safavidiska shahen Ismail I, 1514
Safaviderna drog till sig vrede från islamiska imperier som det ottomanska riket och mogulriket främst på grund av att safaviderna",var ett expansionistiskt imperium geografiskt beläget mellan två andra expansionister,förkastade islams centrala lärosatser,förslavade kristna och förvandlade dem till safavidkrigare,Ismail utropade sig själv till kalif,A
