Question,A,B,C,D,Answer
انهن خوفناڪ فلمن مان ڪهڙو سڀ کان وڌيڪ سيڪوئل پيدا ڪيو؟,رڙيون ڪريو',جوڙ',هيلوين',13 تاريخ جو جمعو',D
انهن مان ڪهڙو برتن سور جي انتڙين مان ٺاهيو ويندو آهي؟,haggis,chitlins,grits,سوي کي ڪٽيو,B
اداڪار انتونيو بانڊيرس مادري ٻولي ڇا آهي؟,ھسپانوي,روسي,جرمن,فراسيسي,A
نيدرلينڊ جي سرڪاري ٻولي ڇا آهي؟,ڊينش,سوئيڊش,جرمن,ڊچ,D
1999 جي فلم ميگنوليا جو سيٽ ڪهڙي حالت ۾ آهي؟,ڪيليفورنيا,ڏکڻ ڪيرولائنا,جارجيا,ٽيڪساس,A
تبديليون جيڪي ايڪونڊروپلاسيا جو سبب بڻجن ٿيون هڪ اثر وجهي ٿيون جن کي هن ريت درجه بندي ڪري سگهجي ٿو:,غالب منفي.,فائدي جي فنڪشن.,هپلوانفيسيشن.,نقصان جي فنڪشن.,B
 هي مارڪيٽنگ ۽ مواصلاتي اوزار گراهڪن کي پيداوار / خدمت خريد ڪرڻ جي حوصلا افزائي ڪرڻ لاء سڌو سنئون لالچ يا حوصلہ افزائي پيش ڪري ٿو:,اشتهارسازي.,عوامي رابطا.,وڪرو جي ترقي.,سڌو مارڪيٽنگ.,C
K-فولڊ ڪراس تصديق آهي,K ۾ لڪيري,K ۾ چوڌاري,K ۾ مکيه,K ۾ اختياري,A
وچولي عمر جي بالغن کي وڏن يا ننڍن بالغن جي ڀيٽ ۾ وڌيڪ ____ ظاهر ٿئي ٿو,پيداوار,Neurotic,راضي آهي,ڪجهه,A
ساراهيل شخصيت جي غلطي هڪ خاص قسم جي آهي,حادثي جي غلطي,ڪوڙي تڪليف,سوال جي درخواست ڪرڻ,سرڪلر استدلال,A
"هي سوال هيٺ ڏنل معلومات جي حوالي سان آهي.
""مطلق العنان حڪمرانن جا ٻج بدحالي ۽ خواهش سان پاليا ويندا آهن. اُھي فقيريءَ ۽ جھڳڙن جي بڇڙي مٽيءَ ۾ پکيڙندا ۽ وڌندا آھن. اهي پنهنجي مڪمل ترقي تي پهچي وڃن ٿا جڏهن هڪ قوم جي بهتر زندگي جي اميد مري وئي آهي. اسان کي ان اميد کي زنده رکڻ گهرجي. . . واقعن جي تيز حرڪت سان اسان تي وڏيون ذميواريون وجهي ڇڏيون ويون آهن. . . مون کي يقين آهي ته ڪانگريس انهن ذميوارين کي چڱيءَ طرح منهن ڏيندي.""
صدر هيري ايس ٽرومن، 1947ع
مٿي ڏنل بيت ۾ ظاهر ڪيل خيال سڌو سنئون ظاهر ڪن ٿا ته آمريڪا جي تاريخ ۾ هيٺ ڏنل تسلسلن مان ڪهڙو آهي؟",ڪانگريس ۽ صدر جي وچ ۾ رشتي بابت بحث.,غير معمولي حالتن ۾ فوجي طاقت جي استعمال بابت بحث.,عالمي معاملن ۾ آمريڪا جي ڪردار بابت بحث.,سياسي پارٽين جي مناسب ڪردار بابت بحث.,C
هڪ مريض ڇهين سروائيڪل ورٽيبرجي جي سطح تي اسپائنل ڪرڊ کي نقصان پهچائڻ سان هڪ ڀڳل ڳچيء جو شڪار ٿئي ٿو.,اهي زندگي جي حمايت کان سواء ساهه کڻڻ کان قاصر هوندا.,اهي رڳو چپ چاپ ساهه کڻڻ جي قابل هوندا.,ساهه کڻڻ تي اثر جو اندازو لڳائڻ ناممڪن آهي.,ساهه کڻڻ تي اثر نه پوندو.,B
منفي بقايا آٽوڪوليشن هيٺ ڏنل مان ڪهڙي طرفان اشارو ڪيو ويو آهي؟,باقي رهندڙن ۾ هڪ چڪر وارو نمونو,باقي رهندڙن ۾ هڪ متبادل نمونو,باقيات ۾ مڪمل بي ترتيب,باقي جيڪي سڀ صفر جي ويجهو آهن,B
هيٺ ڏنل مشروط تجويز جي اڳوڻي جي سڃاڻپ ڪريو: مڇيون پنهنجي پهرين راند کي صرف تڏهن حاصل ڪن ٿيون جڏهن يا ته آرڊورڪس يا چپمنڪس پنهنجي پهرين رانديون نه کٽيندا آهن.,آرڊورڪ پنهنجي پهرين راند کي فتح نه ڪندا آهن.,مڇيون پنهنجي پهرين راند کي فتح ڪن ٿيون.,چپمنڪس پنهنجي پهرين راند کي فتح نه ڪندا آهن.,يا ته آرڊورڪس يا چپمنڪ سندن پهرين رانديون نه کٽيندا آهن.,B
