Question,A,B,C,D,Answer
Koji od ovih horor filmova je iznedrio najviše nastavaka?,Vrišti',Čeljusti,Noć veštica',Petak 13-ti,D
Koje od ovih jela je napravljeno od svinjskog creva?,Hagis,čitlini,Griz,iseckati suey,B
Šta je maternji jezik glumca Antonija Banderasa?,Španski,Ruski,Nemački,Francuski,A
Koji je zvanični jezik Holandije?,Danski,Švedski,Nemački,Holandski,D
U kom stanju je scenografija filma Magnolija iz 1999?,Kalifornija,Južna Karolina,Gruzija,Teksas,A
Mutacije koje izazivaju ahondroplaziju vrše efekat koji se može klasifikovati kao:,dominantno negativan.,dobitak-funkcija.,haploinsufficiency.,gubitak funkcije.,B
 Ovaj alat za marketing i komunikaciju nudi direktan podsticaj ili podsticaj da se kupci podstaknu da kupe proizvod/uslugu:,Reklama.,Javnošću.,Promocija prodaje.,Direktan marketing.,C
K-fold unakrsna provera valjanosti je,linearno u K,kvadrat u K,kubikaže u K,eksponencijalno u K,A
Sredovečni odrasli su izgleda više ____ od starijih ili mlađih odraslih osoba,Generativni,Neurotiиna,Prijatan,Određene,A
Pad pohvalne ličnosti je specifičan tip,Pad nesreće,Lažna dilema,Preklinjem te pitanje,Kružno rezonovanje,A
"Ovo pitanje se odnosi na sledeće informacije.
""Seme totalitarnog režima neguje se bedom i žele. Šire se i rastu u zlom tlu siromaštva i razdora. Oni dostižu svoj puni rast kada je umrla nada naroda za bolji život. Moramo održati tu nadu u životu. Velike odgovornosti su nam postavljene brzim kretanjem događaja. Uveren sam da će se Kongres suočiti sa tim odgovornostima na kvadrat.""
Predsednik Harry S. Truman, 1947
Ideje izražene u pasusu iznad najiskojnije odražavaju koji od sledećih kontinuiteta u istoriji SAD?",Debate o odnosu Kongresa i predsednika.,Debate o upotrebi vojne sile u nestabilnim situacijama.,Debate o ulozi SAD u svetskim poslovima.,Debate o odgovarajućoj ulozi političkih stranaka.,C
Pacijent pati od slomljenog vrata sa oštećenjem kičmene moždine na nivou šestog vratnog pršljena.,Neće moći da dišu bez aparata za održavanje života.,Moći će samo tiho da dišu.,Nemoguće je predvideti efekat na disanje.,Disanje neće biti ugroženo.,B
Negativna autokorelacija ostaje naznačena na kojoj od sledećih opcija?,Ciklična šara u zaostacima,Naizmenični obrazac u zaostacima,Potpuna nasumičnost u zaostacima,Zaostaci koji su svi blizu nule,B
Identifikujte antecedent sledećeg uslovnog predloga: Pčele pobeđuju u svojoj prvoj utakmici samo ako ili Aardvarksi ili Veverice ne pobede u svojim prvim utakmicama.,Aardvarksi ne pobeđuju u svojoj prvoj utakmici.,Pčele pobeđuju u svojoj prvoj utakmici.,Veverice ne pobeđuju u svojoj prvoj utakmici.,Ili Aardvarksi ili Veverice ne pobeđuju u svojim prvim utakmicama.,B
Učenici sprovode vežbu razdvajanja biljnih pigmenata koja od njih zahteva da koriste zatvorenu komoru za hromatografiju sa malom količinom acetona na dnu komore. Bezbednosna upozorenja za aceton uključuju izjavu da je iritantna za oko i kožu i da ima zapaljiva isparenja. Od sledećeg' koje bezbednosne mere predostrožnosti učenici treba da preduzmu dok izvode vežbu?,Stavljam vatrene retardirane rukavice da nosim komoru do isparljive haube ako se aceton zapali,"Postavljanje komore u zatvoreni, zatamnjeni ormarić za vreme trajanja razdvajanja pigmenta",Nošenje kožnih rukavica i pokrivanje nosa i usta maskom za čestice,Nosi naočare i rukavice tipa nitrile i drži sve acetonske kontejnere zatvorene,D
Koja od ovih čini utvrđivanje evolucione srodnosti različitih vrsta na osnovu aminokiseline sekvence homologoznih proteina generalno manje tačnih od utvrđivanja srodnosti na osnovu nukleotidnih sekvenci homologovanih gena?,Tihe mutacije,Genska dupliranja,Događaji translokacije koji menjaju sekvence gena,Prelazak,A
Da li je nezakonito ubistvo koje je počinio ministar zemlje X u inostranstvu čin jure imperii ili jure gestionis?,Takvo ponašanje je javni akt (jure imperii),Takvo ponašanje nikada ne privlači imunitet,Takvo ponašanje je privatan čin (jure gestionis),"Takvo ponašanje je javni čin, ali je zaštićeno imunitetom",C
