Question,CorrectAnswer,GivenAnswer,Correct
"ନେଦରଲାଣ୍ଡର ସରକାରୀ ଭାଷା କ'ଣ ?
A.ଦାନିଶ୍‍
B.ସ୍ୱଦେଶୀ
C.ଜର୍ମାନ
D.ଡଚ୍‌",d,"the correct answer is d. ଡଚ୍‌ (dutch).

netherlands' official language is dutch.",true
"ଅଭିନେତା ଆଣ୍ଟୋନିଓ ବାଣ୍ଡେରାସଙ୍କ ମାତୃଭାଷା କ'ଣ?
A.ସ୍ପାନିଶ୍‌
B.ରଷିଆନ
C.ଜର୍ମାନ
D.ଫ୍ରେଞ୍ଚ",a,"the correct answer is a. ସ୍ପାନିଶ୍‌ (spanish).

antonio banderas is a spanish actor, and spanish is his native language.",true
"୧୯ମସିହାରେ ମୁକ୍ତିଲାଭ କରିଥିବା ଫିଲ୍ମ 'ମାଗ୍ନୋଲିଆ'ର ସେଟ୍ କେଉଁ ରାଜ୍ୟରେ ରହିଛି?
A.କାଲିଫର୍ଣ୍ଣିଆ
B.ଦକ୍ଷିଣ କାରୋଲିନା
C.ଜର୍ଜିଆ
D.ଟେକ୍ସାସ୍",a,"the correct answer is c. ଜର୍ଜିଆ (georgia).

the film ""magnolia"" (1999) was set in georgia, usa.",false
"$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$
A.1
B.-1
C.0
D.2",b,"let's break it down step by step:

$$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~} = -\left(\dfrac{1}{-3}\right)\cdot\left(-3\right) = 1$$

so, the correct answer is:

a. 1",true
"ନିକଟତମ ହଜାରେ ସଂଖ୍ୟାକୁ ମିଶାଇ ୪୭,୦୦୦। କେଉଁ ନମ୍ବରକୁ ରାଉଣ୍ଡ କରାଯାଇଥିଲା ତାହା ହୋଇପାରେ?
A.46,295
B.46,504
C.47,520
D.47,924",b,"let's find the nearest thousand to 47,000.

rounding 47,000 to the nearest thousand means finding the closest multiple of 1000.

since 47,000 is closer to 47,000 than 46,000 or 48,000, we can round it up to 47,000.

however, among the options provided, the closest one to 47,000 is:

c. 47,520

so, the correct answer is c. 47,520.",false
"ଉଚ୍ଚ ଶକ୍ତି ଫସଫେଟ୍, ଏଟିପି ଏବଂ ଫସ୍ଫୋକ୍ରିଏଟିନ୍ ର ଭାଙ୍ଗିବାରୁ ନିର୍ଗତ ଶକ୍ତି, ପ୍ରାୟ ତଃ ସର୍ବାଧିକ ପରିଶ୍ରମ ବ୍ୟାୟାମ ବଜାୟ ରଖିପାରିବ:
A.1-2 ସେକେଣ୍ଡ।
B.୫-୧୦ ସେକେଣ୍ଡ ।
C.୩୦-୪୦ ସେକେଣ୍ଡ ।
D.୫୦-୬୦ ସେକେଣ୍ଡ ।",b,"a question about energy systems in exercise physiology!

the correct answer is b. 5-10 seconds.

here's why:

* high-energy phosphates (atp and phosphocreatine) are the primary energy sources for short-duration, high-intensity activities.
* these energy stores can be depleted within 5-10 seconds of maximal effort, after which other energy systems (such as anaerobic glycolysis) take over.

so, the correct answer is b. 5-10 seconds.",true
"ପ୍ରଶଂସନୀୟ ବ୍ୟକ୍ତିତ୍ୱର ଭ୍ରାନ୍ତତା ହେଉଛି ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାରର
A.ଦୁର୍ଘଟଣାର ଭ୍ରମ
B.ମିଥ୍ୟା ଦ୍ୱନ୍ଦ୍ୱ
C.ପ୍ରଶ୍ନ ଭିକ ମାଗୁଛନ୍ତି
D.ସର୍କୁଲାର ଯୁକ୍ତି[ସମ୍ପାଦନା]",a,"i see you're asking a question in odia!

the correct answer is a. ଦୁର୍ଘଟଣାର ଭ୍ରମ (illusion of control).

the illusion of control is a cognitive bias that occurs when people overestimate their ability to control events or outcomes, even when they have no actual influence over them. this can lead to an unrealistic sense of confidence and a tendency to take unnecessary risks.

let me know if you have any further questions or if there's anything else i can help you with!",true
"ପାର୍ଫିଟ୍ କାହିଁକି ସମାନତାକୁ ବିରୋଧ କରନ୍ତି?
A.ଏକ ଅସମାନ ସମାଜ ଅନିବାର୍ଯ୍ୟ ବୋଲି ସେ ଯୁକ୍ତି ବାଢ଼ିଛନ୍ତି।
B.ଗରିବଙ୍କ ଆବଶ୍ୟକତାକୁ ପ୍ରାଥମିକତା ଦେଇ ଆମେ ସମାନତା ବୃଦ୍ଧି କରିପାରିବା ବୋଲି ସେ ଦାବି କରିଛନ୍ତି।
C.ଆମର ଦାରିଦ୍ର୍ୟ ପାଇଁ ଆମେ ସମସ୍ତେ ଦାୟୀ ବୋଲି ସେ ଦୃଢ଼ୋକ୍ତି ପ୍ରକାଶ କରିଛନ୍ତି।
D.ସମାନତାର ଧାରଣାକୁ ସେ ସମ୍ପୂର୍ଣ୍ଣ ପ୍ରତ୍ୟାଖ୍ୟାନ କରନ୍ତି ।",b,"the correct answer is d. ସମାନତାର ଧାରଣାକୁ ସେ ସମ୍ପୂର୍ଣ୍ଣ ପ୍ରତ୍ୟାଖ୍ୟାନ କରନ୍ତି ।

this option suggests that the person rejects the concept of equality altogether, which means they are opposed to the idea of equality.",false
"xy-ପ୍ଲେନ୍ ରେ, x^(ଲଗ୍ y) = y^ଲଗ୍ x ର ଗ୍ରାଫ୍ ହେଉଛି
A.ଖୋଲା ପ୍ରଥମ ଚତୁର୍ଥ ଭାଗ
B.ଏକ ବନ୍ଦ ବକ୍ର
C.ଖୋଲା ପ୍ରଥମ ଚତୁର୍ଥଭାଗରେ ଏକ କିରଣ
D.ଗୋଟିଏ ପଏଣ୍ଟ",a,"a nice question in odia!

the graph of x^(log y) = y^(log x) is a...

the correct answer is a. ଖୋଲା ପ୍ରଥମ ଚତୁର୍ଥ ଭାଗ (open first quadrant).

here's why:

x^(log y) = y^(log x)

taking log on both sides,

(log x)(log y) = (log y)(log x)

this implies that the graph is symmetric about the line y = x.

also, since x and y are positive (as they are raised to some power), the graph lies in the first quadrant.

so, the correct answer is a. open first quadrant.",true
"ଏକ ସିରିଜ୍ ସର୍କିଟରେ, ଯଦି ଗୋଟିଏ ଦୀପରେ କରେଣ୍ଟ 2 A ହୁଏ, ତେବେ ଏହା ପାଖରେ ଥିବା ଦୀପରେ ସ୍ରୋତ ଥାଏ
A.ଅଧା, ୧ ଏ
B.ରାତି ୨ଟା
C.କେଉଁ ଲ୍ୟାମ୍ପ୍ ବ୍ୟାଟେରି ର ନିକଟତର ତାହା ଉପରେ ନିର୍ଭର କରେ
D.କହିବାକୁ ପର୍ଯ୍ୟାପ୍ତ ସୂଚନା ନାହିଁ",b,"a nice question in odia!

let's break it down:

in a series circuit, if one lamp has a current of 2 a, then the current in the adjacent lamp is...

the correct answer is:

a. ଅଧା, ୧ ଏ (1 a)

here's why: in a series circuit, the current is the same throughout the circuit. if one lamp has a current of 2 a, then all lamps in the series circuit will have the same current, which is 2 a. so, the adjacent lamp will also have a current of 2 a, not half of it.

so, option a is incorrect. the correct answer is not among the options provided.",false
